song,album,prev,lyric,next,artist
Wonderful Life,Nocturama,,"Come in, babe",Across these purple fields,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,"Come in, babe",Across these purple fields,The sun has sunk behind you,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,Across these purple fields,The sun has sunk behind you,Across these purple fields,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,The sun has sunk behind you,Across these purple fields,That idiot-boy in the corner,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,Across these purple fields,That idiot-boy in the corner,Is speaking deviated truths,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,That idiot-boy in the corner,Is speaking deviated truths,"Come on, admit it, babe",Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,Is speaking deviated truths,"Come on, admit it, babe",It’s a wonderful life,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,"Come on, admit it, babe",It’s a wonderful life,If you can find it,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,It’s a wonderful life,If you can find it,If you can find it,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,If you can find it,If you can find it,If you can find it,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,If you can find it,If you can find it,It’s a wonderful life that you bring,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,If you can find it,It’s a wonderful life that you bring,Ooh it’s a wonderful thing,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,It’s a wonderful life that you bring,Ooh it’s a wonderful thing,,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,Ooh it’s a wonderful thing,,Speak our secret into your hands,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,,Speak our secret into your hands,And hold it in between,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,Speak our secret into your hands,And hold it in between,Plunge your hands into the water,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,And hold it in between,Plunge your hands into the water,And drown it in the sea,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,Plunge your hands into the water,And drown it in the sea,"There will be nothing between us, baby",Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,And drown it in the sea,"There will be nothing between us, baby",But the air that we breathe,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,"There will be nothing between us, baby",But the air that we breathe,Don’t cry,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,But the air that we breathe,Don’t cry,"It’s a wonderful life, wonderful life",Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,Don’t cry,"It’s a wonderful life, wonderful life",if you can find it,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,"It’s a wonderful life, wonderful life",if you can find it,If you can find it,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,if you can find it,If you can find it,If you can find it,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,If you can find it,If you can find it,It’s a wonderful life that you bring,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,If you can find it,It’s a wonderful life that you bring,"It’s a wonderful, wonderful thing",Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,It’s a wonderful life that you bring,"It’s a wonderful, wonderful thing",,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,"It’s a wonderful, wonderful thing",,We can build our dungeons in the air,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,,We can build our dungeons in the air,And sit and cry the blues,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,We can build our dungeons in the air,And sit and cry the blues,We can stomp across this world,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,And sit and cry the blues,We can stomp across this world,With nails hammered through our shoes,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,We can stomp across this world,With nails hammered through our shoes,We can join that troubled chorus,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,With nails hammered through our shoes,We can join that troubled chorus,Who criticise and accuse,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,We can join that troubled chorus,Who criticise and accuse,It don’t matter much,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,Who criticise and accuse,It don’t matter much,We got nothing much to lose,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,It don’t matter much,We got nothing much to lose,But this wonderful life,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,We got nothing much to lose,But this wonderful life,If you can find it,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,But this wonderful life,If you can find it,And when you find it,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,If you can find it,And when you find it,And when you find it,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,And when you find it,And when you find it,It’s a wonderful life that you bring,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,And when you find it,It’s a wonderful life that you bring,"It’s a wonderful, wonderful, wonderful thing",Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,It’s a wonderful life that you bring,"It’s a wonderful, wonderful, wonderful thing",,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,"It’s a wonderful, wonderful, wonderful thing",,Sometimes our secrets are all we’ve got,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,,Sometimes our secrets are all we’ve got,With our lives we must defend,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,Sometimes our secrets are all we’ve got,With our lives we must defend,"Sometimes the air between us, babe",Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,With our lives we must defend,"Sometimes the air between us, babe",Is unbearably thin,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,"Sometimes the air between us, babe",Is unbearably thin,Sometimes it’s wise to lay down your gloves,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,Is unbearably thin,Sometimes it’s wise to lay down your gloves,And just give in,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,Sometimes it’s wise to lay down your gloves,And just give in,"Come in, come in",Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,And just give in,"Come in, come in","Come in, come in",Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,"Come in, come in","Come in, come in",To this wonderful life,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,"Come in, come in",To this wonderful life,If you can find it,Nick Cave & The Bad Seeds
Wonderful Life,Nocturama,To this wonderful life,If you can find it,And if you find it,Nick Cave & The Bad Seeds
