song,album,prev,lyric,next,artist
Mickey Mouse And The Goodbye Man,Grinderman 2,,I woke up this morning and I thought what am I doing,Yeah what am I doing here,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,I woke up this morning and I thought what am I doing,Yeah what am I doing here,I woke up this morning and I thought what am I doing,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,Yeah what am I doing here,I woke up this morning and I thought what am I doing,"Yeah what am I doing hereWell my brother, he starts raging!",Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,I woke up this morning and I thought what am I doing,"Yeah what am I doing hereWell my brother, he starts raging!",Watch him rising! See him howling!,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,"Yeah what am I doing hereWell my brother, he starts raging!",Watch him rising! See him howling!,And he sucked her and he sucked her and he sucked her dry,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,Watch him rising! See him howling!,And he sucked her and he sucked her and he sucked her dry,And he bit at me and bit at me and said goodbye,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,And he sucked her and he sucked her and he sucked her dry,And he bit at me and bit at me and said goodbye,Up on the twenty-ninth floor! Up on the twenty-ninth floor!,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,And he bit at me and bit at me and said goodbye,Up on the twenty-ninth floor! Up on the twenty-ninth floor!,Aoooooow! Aoooooow!,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,Up on the twenty-ninth floor! Up on the twenty-ninth floor!,Aoooooow! Aoooooow!,,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,Aoooooow! Aoooooow!,,"Well, I was lying there with just my brother",Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,,"Well, I was lying there with just my brother",We could hear someone rattling the locks,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,"Well, I was lying there with just my brother",We could hear someone rattling the locks,I was lying there with just my brother,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,We could hear someone rattling the locks,I was lying there with just my brother,He said do you think that might be the cops?,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,I was lying there with just my brother,He said do you think that might be the cops?,And we sucked her and we sucked her and we sucked her dry,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,He said do you think that might be the cops?,And we sucked her and we sucked her and we sucked her dry,And we sucked her and we sucked her and we sucked her dry,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,And we sucked her and we sucked her and we sucked her dry,And we sucked her and we sucked her and we sucked her dry,I was Mickey Mouse! He was the big bad wolf!,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,And we sucked her and we sucked her and we sucked her dry,I was Mickey Mouse! He was the big bad wolf!,,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,I was Mickey Mouse! He was the big bad wolf!,,Next thing you know I’m looking down below,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,,Next thing you know I’m looking down below,See a lupine child with her hair on fire,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,Next thing you know I’m looking down below,See a lupine child with her hair on fire,Little burning girl! She’s looking up at me!,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,See a lupine child with her hair on fire,Little burning girl! She’s looking up at me!,Running to the elevator! Getting in the elevator!,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,Little burning girl! She’s looking up at me!,Running to the elevator! Getting in the elevator!,"Sixth floor, seventh floor, eighth floor, nine",Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,Running to the elevator! Getting in the elevator!,"Sixth floor, seventh floor, eighth floor, nine","Come on baby,  gonna blow my mind!",Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,"Sixth floor, seventh floor, eighth floor, nine","Come on baby,  gonna blow my mind!",Oooooooow!,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,"Come on baby,  gonna blow my mind!",Oooooooow!,,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,Oooooooow!,,"Well, I woke up this morning and he was gone",Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,,"Well, I woke up this morning and he was gone",There were posters in the airports and the stations,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,"Well, I woke up this morning and he was gone",There were posters in the airports and the stations,We took shelter,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,There were posters in the airports and the stations,We took shelter,We took shelter,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,We took shelter,We took shelter,Under her body,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,We took shelter,Under her body,Under her body,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,Under her body,Under her body,We sucked her and we sucked her and we sucked her dry,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,Under her body,We sucked her and we sucked her and we sucked her dry,We sucked her and we sucked her and we shaved her dry,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,We sucked her and we sucked her and we sucked her dry,We sucked her and we sucked her and we shaved her dry,He kissed me and kissed me and said goodbye,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,We sucked her and we sucked her and we shaved her dry,He kissed me and kissed me and said goodbye,He kissed me and kissed me and said goodbye,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,He kissed me and kissed me and said goodbye,He kissed me and kissed me and said goodbye,Alright!,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,He kissed me and kissed me and said goodbye,Alright!,,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,Alright!,,"Well, no time at all, she’s walking down the hall",Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,,"Well, no time at all, she’s walking down the hall",She’s a bat-faced girl with dynamite curls,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,"Well, no time at all, she’s walking down the hall",She’s a bat-faced girl with dynamite curls,"Ringing the bell-bell, banging on the door",Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,She’s a bat-faced girl with dynamite curls,"Ringing the bell-bell, banging on the door",Walking down the travelator! Walking down the travelator!,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,"Ringing the bell-bell, banging on the door",Walking down the travelator! Walking down the travelator!,Twenny-two twenny-four twenny-six twenny-nine,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,Walking down the travelator! Walking down the travelator!,Twenny-two twenny-four twenny-six twenny-nine,Come on baby and blow my mind!,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,Twenny-two twenny-four twenny-six twenny-nine,Come on baby and blow my mind!,Ooooooow! Oooooooooooow! Yeah!,Grinderman
Mickey Mouse And The Goodbye Man,Grinderman 2,Come on baby and blow my mind!,Ooooooow! Oooooooooooow! Yeah!,,Grinderman
Worm Tamer,Grinderman 2,,You know they call my girl The Snake Charmer,Here she comes rising with the yellow dawn,Grinderman
Worm Tamer,Grinderman 2,You know they call my girl The Snake Charmer,Here she comes rising with the yellow dawn,You know I would do nothing to ever harm her,Grinderman
Worm Tamer,Grinderman 2,Here she comes rising with the yellow dawn,You know I would do nothing to ever harm her,I guess that I’ve loved you for too long,Grinderman
Worm Tamer,Grinderman 2,You know I would do nothing to ever harm her,I guess that I’ve loved you for too long,,Grinderman
Worm Tamer,Grinderman 2,I guess that I’ve loved you for too long,,You know they call my girl The Worm Tamer,Grinderman
Worm Tamer,Grinderman 2,,You know they call my girl The Worm Tamer,She cracks lightning like a vipers tongue,Grinderman
Worm Tamer,Grinderman 2,You know they call my girl The Worm Tamer,She cracks lightning like a vipers tongue,She leaves me every night and who can blame her,Grinderman
Worm Tamer,Grinderman 2,She cracks lightning like a vipers tongue,She leaves me every night and who can blame her,I guess that I’ve loved you for too long,Grinderman
Worm Tamer,Grinderman 2,She leaves me every night and who can blame her,I guess that I’ve loved you for too long,,Grinderman
Worm Tamer,Grinderman 2,I guess that I’ve loved you for too long,,For too long!,Grinderman
Worm Tamer,Grinderman 2,,For too long!,For too long!,Grinderman
Worm Tamer,Grinderman 2,For too long!,For too long!,,Grinderman
Worm Tamer,Grinderman 2,For too long!,,You know they call my girl The Serpent Wrangler,Grinderman
Worm Tamer,Grinderman 2,,You know they call my girl The Serpent Wrangler,Eating inchworms down the bill-a-bong,Grinderman
Worm Tamer,Grinderman 2,You know they call my girl The Serpent Wrangler,Eating inchworms down the bill-a-bong,I spent all last night trying to untangle her,Grinderman
