song,album,prev,lyric,next,artist
Get It On,Grinderman,,I’ve gotta get up to get down and start all over again,Head on down to the basement and shout,Grinderman
Get It On,Grinderman,I’ve gotta get up to get down and start all over again,Head on down to the basement and shout,Kick those white mice and black dogs out,Grinderman
Get It On,Grinderman,Head on down to the basement and shout,Kick those white mice and black dogs out,Kick those white mice and baboons out,Grinderman
Get It On,Grinderman,Kick those white mice and black dogs out,Kick those white mice and baboons out,Kick those baboons and other motherfuckers out,Grinderman
Get It On,Grinderman,Kick those white mice and baboons out,Kick those baboons and other motherfuckers out,,Grinderman
Get It On,Grinderman,Kick those baboons and other motherfuckers out,,And get it on get it on,Grinderman
Get It On,Grinderman,,And get it on get it on,On the day that you got born,Grinderman
Get It On,Grinderman,And get it on get it on,On the day that you got born,,Grinderman
Get It On,Grinderman,On the day that you got born,,They had to dig him from the ground,Grinderman
Get It On,Grinderman,,They had to dig him from the ground,They chipped him from the frozen snow,Grinderman
Get It On,Grinderman,They had to dig him from the ground,They chipped him from the frozen snow,They dug his monkey fingers,Grinderman
Get It On,Grinderman,They chipped him from the frozen snow,They dug his monkey fingers,But he had no where to go,Grinderman
Get It On,Grinderman,They dug his monkey fingers,But he had no where to go,They dug his pink hair curlers,Grinderman
Get It On,Grinderman,But he had no where to go,They dug his pink hair curlers,They dug his sequined gown,Grinderman
Get It On,Grinderman,They dug his pink hair curlers,They dug his sequined gown,They dug his Stratocaster,Grinderman
Get It On,Grinderman,They dug his sequined gown,They dug his Stratocaster,They dug his pornographic crown,Grinderman
Get It On,Grinderman,They dug his Stratocaster,They dug his pornographic crown,,Grinderman
Get It On,Grinderman,They dug his pornographic crown,,He’s got some words of wisdom!,Grinderman
Get It On,Grinderman,,He’s got some words of wisdom!,I got some words of wisdom!,Grinderman
Get It On,Grinderman,He’s got some words of wisdom!,I got some words of wisdom!,He’s got some words of wisdom!,Grinderman
Get It On,Grinderman,I got some words of wisdom!,He’s got some words of wisdom!,I got some words of wisdom!,Grinderman
Get It On,Grinderman,He’s got some words of wisdom!,I got some words of wisdom!,,Grinderman
Get It On,Grinderman,I got some words of wisdom!,,Get it on!,Grinderman
Get It On,Grinderman,,Get it on!,Get it on!,Grinderman
Get It On,Grinderman,Get it on!,Get it on!,On the day that,Grinderman
Get It On,Grinderman,Get it on!,On the day that,You got born!,Grinderman
Get It On,Grinderman,On the day that,You got born!,,Grinderman
Get It On,Grinderman,You got born!,,He crawled out of the ooze,Grinderman
Get It On,Grinderman,,He crawled out of the ooze,He defied evolution,Grinderman
