song,album,prev,lyric,next,artist
The Spinning Song,Ghosteen,,Once there was a song,The song yearned to be sung,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,Once there was a song,The song yearned to be sung,It was a spinning song,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,The song yearned to be sung,It was a spinning song,About the king of rock ‘n’ roll,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,It was a spinning song,About the king of rock ‘n’ roll,,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,About the king of rock ‘n’ roll,,The king was first a young prince,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,,The king was first a young prince,The prince was the best,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,The king was first a young prince,The prince was the best,With his black jelly hair,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,The prince was the best,With his black jelly hair,He crashed onto a stage in Vegas,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,With his black jelly hair,He crashed onto a stage in Vegas,,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,He crashed onto a stage in Vegas,,The king had a queen,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,,The king had a queen,The queen’s hair was a stairway,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,The king had a queen,The queen’s hair was a stairway,She tended the castle garden,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,The queen’s hair was a stairway,She tended the castle garden,And in the garden planted a tree,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,She tended the castle garden,And in the garden planted a tree,,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,And in the garden planted a tree,,The garden tree was a stairway,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,,The garden tree was a stairway,It was sixteen branches high,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,The garden tree was a stairway,It was sixteen branches high,On the top branch was a nest,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,It was sixteen branches high,On the top branch was a nest,Sing the high cloudy nest,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,On the top branch was a nest,Sing the high cloudy nest,,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,Sing the high cloudy nest,,In the nest there was a bird,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,,In the nest there was a bird,The bird had a wing,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,In the nest there was a bird,The bird had a wing,The wing had a feather,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,The bird had a wing,The wing had a feather,Spin the feather and sing the wind,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,The wing had a feather,Spin the feather and sing the wind,,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,Spin the feather and sing the wind,,The king in time died,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,,The king in time died,The queen’s heart broke like a vow,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,The king in time died,The queen’s heart broke like a vow,And the tree returned to the earth,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,The queen’s heart broke like a vow,And the tree returned to the earth,With the nest and the bird,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,And the tree returned to the earth,With the nest and the bird,,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,With the nest and the bird,,But the feather spun upward,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,,But the feather spun upward,Upward and upward,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,But the feather spun upward,Upward and upward,Spinning all the weather vanes,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,Upward and upward,Spinning all the weather vanes,And you’re sitting at the kitchen table,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,Spinning all the weather vanes,And you’re sitting at the kitchen table,Listening to the radio,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,And you’re sitting at the kitchen table,Listening to the radio,,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,Listening to the radio,,And I love you,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,,And I love you,And I love you,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,And I love you,And I love you,And I love you,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,And I love you,And I love you,And I love you,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,And I love you,And I love you,And I love you,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,And I love you,And I love you,And I love you,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,And I love you,And I love you,And I love you,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,And I love you,And I love you,,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,And I love you,,Peace will come,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,,Peace will come,Peace will come,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,Peace will come,Peace will come,Peace will come in time,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,Peace will come,Peace will come in time,,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,Peace will come in time,,A time will come,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,,A time will come,A time will come,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,A time will come,A time will come,A time will come for us,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,A time will come,A time will come for us,,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,A time will come for us,,Peace will come,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,,Peace will come,Peace will come,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,Peace will come,Peace will come,Peace will come in time,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,Peace will come,Peace will come in time,,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,Peace will come in time,,A time will come,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,,A time will come,A time will come,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,A time will come,A time will come,A time will come for us,Nick Cave & The Bad Seeds
The Spinning Song,Ghosteen,A time will come,A time will come for us,,Nick Cave & The Bad Seeds
Bright Horses,Ghosteen,,The bright horses have broken free from the fields,"They are horses of love, their manes full of fire",Nick Cave & The Bad Seeds
Bright Horses,Ghosteen,The bright horses have broken free from the fields,"They are horses of love, their manes full of fire","They are parting the cities, those bright burning horses",Nick Cave & The Bad Seeds
