song,album,prev,lyric,next,artist
Foi Na Cruz,The Good Son,,"Foi na cruz, foi na cruz",Que um dia,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,"Foi na cruz, foi na cruz",Que um dia,Meus pecados castigados em Jesus,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Que um dia,Meus pecados castigados em Jesus,Foi na cruz,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Meus pecados castigados em Jesus,Foi na cruz,Que um dia,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Foi na cruz,Que um dia,Foi na cruz,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Que um dia,Foi na cruz,,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Foi na cruz,,Love comes a-knocking,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,,Love comes a-knocking,Comes a-knocking upon our door,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Love comes a-knocking,Comes a-knocking upon our door,"But you, you and me, love",Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Comes a-knocking upon our door,"But you, you and me, love",We don’t live there any more,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,"But you, you and me, love",We don’t live there any more,,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,We don’t live there any more,,"Foi na cruz, foi na cruz",Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,,"Foi na cruz, foi na cruz",Que um dia,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,"Foi na cruz, foi na cruz",Que um dia,Meus pecados castigados em Jesus,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Que um dia,Meus pecados castigados em Jesus,Foi na cruz,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Meus pecados castigados em Jesus,Foi na cruz,Que um dia,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Foi na cruz,Que um dia,Foi na cruz,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Que um dia,Foi na cruz,,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Foi na cruz,,"A little sleep, a little slumber",Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,,"A little sleep, a little slumber",A little folding of the hands to sleep,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,"A little sleep, a little slumber",A little folding of the hands to sleep,"A little love, a little hate, babe",Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,A little folding of the hands to sleep,"A little love, a little hate, babe",A little trickery and deceit,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,"A little love, a little hate, babe",A little trickery and deceit,,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,A little trickery and deceit,,"Foi na cruz, foi na cruz",Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,,"Foi na cruz, foi na cruz",Que um dia,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,"Foi na cruz, foi na cruz",Que um dia,Meus pecados castigados em Jesus,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Que um dia,Meus pecados castigados em Jesus,Foi na cruz,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Meus pecados castigados em Jesus,Foi na cruz,Que um dia,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Foi na cruz,Que um dia,Foi na cruz,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Que um dia,Foi na cruz,,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Foi na cruz,,Dream on ‘till you can dream no more,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,,Dream on ‘till you can dream no more,"For all our grand plans, babe",Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Dream on ‘till you can dream no more,"For all our grand plans, babe",Will be dreams forever more,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,"For all our grand plans, babe",Will be dreams forever more,,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Will be dreams forever more,,"Foi na cruz, foi na cruz",Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,,"Foi na cruz, foi na cruz",Que um dia,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,"Foi na cruz, foi na cruz",Que um dia,Meus pecados castigados em Jesus,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Que um dia,Meus pecados castigados em Jesus,Foi na cruz,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Meus pecados castigados em Jesus,Foi na cruz,Que um dia,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Foi na cruz,Que um dia,Foi na cruz,Nick Cave & The Bad Seeds
Foi Na Cruz,The Good Son,Que um dia,Foi na cruz,,Nick Cave & The Bad Seeds
The Good Son,The Good Son,,One more man gone,One more man gone,Nick Cave & The Bad Seeds
The Good Son,The Good Son,One more man gone,One more man gone,One more man is gone,Nick Cave & The Bad Seeds
The Good Son,The Good Son,One more man gone,One more man is gone,,Nick Cave & The Bad Seeds
The Good Son,The Good Son,One more man is gone,,The good son walks into the field,Nick Cave & The Bad Seeds
The Good Son,The Good Son,,The good son walks into the field,"He is a tiller, he has a tiller’s hands",Nick Cave & The Bad Seeds
The Good Son,The Good Son,The good son walks into the field,"He is a tiller, he has a tiller’s hands",But down in his heart now,Nick Cave & The Bad Seeds
The Good Son,The Good Son,"He is a tiller, he has a tiller’s hands",But down in his heart now,He lays down queer plans,Nick Cave & The Bad Seeds
The Good Son,The Good Son,But down in his heart now,He lays down queer plans,Against his brother and against his family,Nick Cave & The Bad Seeds
The Good Son,The Good Son,He lays down queer plans,Against his brother and against his family,Yet he worships his brother,Nick Cave & The Bad Seeds
The Good Son,The Good Son,Against his brother and against his family,Yet he worships his brother,And he worships his mother,Nick Cave & The Bad Seeds
The Good Son,The Good Son,Yet he worships his brother,And he worships his mother,"But it’s his father, he says, is an unfair man",Nick Cave & The Bad Seeds
The Good Son,The Good Son,And he worships his mother,"But it’s his father, he says, is an unfair man",The good son,Nick Cave & The Bad Seeds
The Good Son,The Good Son,"But it’s his father, he says, is an unfair man",The good son,The good son,Nick Cave & The Bad Seeds
The Good Son,The Good Son,The good son,The good son,The good son,Nick Cave & The Bad Seeds
The Good Son,The Good Son,The good son,The good son,,Nick Cave & The Bad Seeds
The Good Son,The Good Son,The good son,,The good son has sat and often wept,Nick Cave & The Bad Seeds
The Good Son,The Good Son,,The good son has sat and often wept,Beneath a malign star by which he’s kept,Nick Cave & The Bad Seeds
The Good Son,The Good Son,The good son has sat and often wept,Beneath a malign star by which he’s kept,And the night-time in which he’s wrapped,Nick Cave & The Bad Seeds
The Good Son,The Good Son,Beneath a malign star by which he’s kept,And the night-time in which he’s wrapped,Speaks of good and speaks of evil,Nick Cave & The Bad Seeds
The Good Son,The Good Son,And the night-time in which he’s wrapped,Speaks of good and speaks of evil,And he calls to his mother,Nick Cave & The Bad Seeds
The Good Son,The Good Son,Speaks of good and speaks of evil,And he calls to his mother,And he calls to his father,Nick Cave & The Bad Seeds
The Good Son,The Good Son,And he calls to his mother,And he calls to his father,But they are deaf in the shadows,Nick Cave & The Bad Seeds
The Good Son,The Good Son,And he calls to his father,But they are deaf in the shadows,Of his brother’s truancy,Nick Cave & The Bad Seeds
The Good Son,The Good Son,But they are deaf in the shadows,Of his brother’s truancy,The good son,Nick Cave & The Bad Seeds
The Good Son,The Good Son,Of his brother’s truancy,The good son,The good son,Nick Cave & The Bad Seeds
The Good Son,The Good Son,The good son,The good son,The good son,Nick Cave & The Bad Seeds
The Good Son,The Good Son,The good son,The good son,The good son,Nick Cave & The Bad Seeds
The Good Son,The Good Son,The good son,The good son,And he curses his mother,Nick Cave & The Bad Seeds
The Good Son,The Good Son,The good son,And he curses his mother,And he curses his father,Nick Cave & The Bad Seeds
The Good Son,The Good Son,And he curses his mother,And he curses his father,And he curses his virtue like an unclean thing,Nick Cave & The Bad Seeds
The Good Son,The Good Son,And he curses his father,And he curses his virtue like an unclean thing,The good son,Nick Cave & The Bad Seeds
The Good Son,The Good Son,And he curses his virtue like an unclean thing,The good son,The good son,Nick Cave & The Bad Seeds
The Good Son,The Good Son,The good son,The good son,The good son,Nick Cave & The Bad Seeds
The Good Son,The Good Son,The good son,The good son,,Nick Cave & The Bad Seeds
The Good Son,The Good Son,The good son,,One more man gone,Nick Cave & The Bad Seeds
The Good Son,The Good Son,,One more man gone,One more man gone,Nick Cave & The Bad Seeds
The Good Son,The Good Son,One more man gone,One more man gone,One more man,Nick Cave & The Bad Seeds
The Good Son,The Good Son,One more man gone,One more man,One more man gone,Nick Cave & The Bad Seeds
The Good Son,The Good Son,One more man,One more man gone,One more man gone,Nick Cave & The Bad Seeds
The Good Son,The Good Son,One more man gone,One more man gone,One more man,Nick Cave & The Bad Seeds
The Good Son,The Good Son,One more man gone,One more man,One more man gone,Nick Cave & The Bad Seeds
The Good Son,The Good Son,One more man,One more man gone,One more man gone,Nick Cave & The Bad Seeds
The Good Son,The Good Son,One more man gone,One more man gone,One more man,Nick Cave & The Bad Seeds
The Good Son,The Good Son,One more man gone,One more man,,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,,Sorrow’s child sits by the river,Sorrow’s child hears not the water,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,Sorrow’s child sits by the river,Sorrow’s child hears not the water,Sorrow’s child sits by the river,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,Sorrow’s child hears not the water,Sorrow’s child sits by the river,Sorrow’s child hears not the water,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,Sorrow’s child sits by the river,Sorrow’s child hears not the water,And just when it seems as though,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,Sorrow’s child hears not the water,And just when it seems as though,You’ve got strength enough to stand,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,And just when it seems as though,You’ve got strength enough to stand,Sorrow’s child all weak and strange,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,You’ve got strength enough to stand,Sorrow’s child all weak and strange,Stands waiting at your hand,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,Sorrow’s child all weak and strange,Stands waiting at your hand,,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,Stands waiting at your hand,,Sorrow’s child steps in the water,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,,Sorrow’s child steps in the water,Sorrow’s child you follow after,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,Sorrow’s child steps in the water,Sorrow’s child you follow after,Sorrow’s child wades in deeper,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,Sorrow’s child you follow after,Sorrow’s child wades in deeper,Sorrow’s child invites you under,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,Sorrow’s child wades in deeper,Sorrow’s child invites you under,And just when you thought as though,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,Sorrow’s child invites you under,And just when you thought as though,All you tears were wept and done,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,And just when you thought as though,All you tears were wept and done,Sorrow’s child grieves not what has passed,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,All you tears were wept and done,Sorrow’s child grieves not what has passed,But all the past still yet to come,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,Sorrow’s child grieves not what has passed,But all the past still yet to come,,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,But all the past still yet to come,,Sorrow’s child sits by the water,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,,Sorrow’s child sits by the water,Sorrow’s child your arms enfold her,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,Sorrow’s child sits by the water,Sorrow’s child your arms enfold her,Sorrow’s child you’re loathe to befriend her,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,Sorrow’s child your arms enfold her,Sorrow’s child you’re loathe to befriend her,Sorrow’s child but in sorrow surrender,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,Sorrow’s child you’re loathe to befriend her,Sorrow’s child but in sorrow surrender,And just when it seems as though,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,Sorrow’s child but in sorrow surrender,And just when it seems as though,All your tears were at an end,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,And just when it seems as though,All your tears were at an end,Sorrow’s child lifts up her hand,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,All your tears were at an end,Sorrow’s child lifts up her hand,And she brings it down again,Nick Cave & The Bad Seeds
Sorrow’s Child,The Good Son,Sorrow’s child lifts up her hand,And she brings it down again,,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,,"Go son, go down to the water",And see the women weeping there,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,"Go son, go down to the water",And see the women weeping there,Then go up into the mountains,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,And see the women weeping there,Then go up into the mountains,"The men, they are weeping too",Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,Then go up into the mountains,"The men, they are weeping too","Father, why are all the women weeping?",Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,"The men, they are weeping too","Father, why are all the women weeping?",They are weeping for their men,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,"Father, why are all the women weeping?",They are weeping for their men,Then why are all the men there weeping?,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,They are weeping for their men,Then why are all the men there weeping?,They are weeping back at them,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,Then why are all the men there weeping?,They are weeping back at them,,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,They are weeping back at them,,This is a weeping song,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,,This is a weeping song,A song in which to weep,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,This is a weeping song,A song in which to weep,While all the men and women sleep,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,A song in which to weep,While all the men and women sleep,This is a weeping song,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,While all the men and women sleep,This is a weeping song,But I won’t be weeping long,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,This is a weeping song,But I won’t be weeping long,,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,But I won’t be weeping long,,"Father, why are all the children weeping?",Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,,"Father, why are all the children weeping?",They are merely crying son,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,"Father, why are all the children weeping?",They are merely crying son,"O, are they merely crying, father?",Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,They are merely crying son,"O, are they merely crying, father?","Yes, true weeping is yet to come",Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,"O, are they merely crying, father?","Yes, true weeping is yet to come",,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,"Yes, true weeping is yet to come",,This is a weeping song,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,,This is a weeping song,A song in which to weep,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,This is a weeping song,A song in which to weep,While all the little children sleep,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,A song in which to weep,While all the little children sleep,This is a weeping song,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,While all the little children sleep,This is a weeping song,But I won’t be weeping long,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,This is a weeping song,But I won’t be weeping long,,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,But I won’t be weeping long,,"O father, tell me, are you weeping?",Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,,"O father, tell me, are you weeping?",Your face seems wet to touch,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,"O father, tell me, are you weeping?",Your face seems wet to touch,"O then I’m so sorry, father",Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,Your face seems wet to touch,"O then I’m so sorry, father",I never thought I hurt you so much,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,"O then I’m so sorry, father",I never thought I hurt you so much,,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,I never thought I hurt you so much,,This is a weeping song,Nick Cave & The Bad Seeds
The Weeping Song,The Good Son,,This is a weeping song,A song in which to weep,Nick Cave & The Bad Seeds
