song,album,prev,lyric,next
We No Who U R,Push The Sky Away,,The tree don’t care what the little bird sings,We go down with the dew in the morning
We No Who U R,Push The Sky Away,The tree don’t care what the little bird sings,We go down with the dew in the morning,The trees don’t know what the little bird brings
We No Who U R,Push The Sky Away,We go down with the dew in the morning,The trees don’t know what the little bird brings,We go down with the dew in the morning
We No Who U R,Push The Sky Away,The trees don’t know what the little bird brings,We go down with the dew in the morning,And we breathe it in
We No Who U R,Push The Sky Away,We go down with the dew in the morning,And we breathe it in,There is no need to forgive
We No Who U R,Push The Sky Away,And we breathe it in,There is no need to forgive,The trees will stand like pleading hands
We No Who U R,Push The Sky Away,There is no need to forgive,The trees will stand like pleading hands,We go down with the dew in the morning
We No Who U R,Push The Sky Away,The trees will stand like pleading hands,We go down with the dew in the morning,The trees all stand like pleading hands
We No Who U R,Push The Sky Away,We go down with the dew in the morning,The trees all stand like pleading hands,We go down with the dew in the morning
We No Who U R,Push The Sky Away,The trees all stand like pleading hands,We go down with the dew in the morning,And we breathe it in
We No Who U R,Push The Sky Away,We go down with the dew in the morning,And we breathe it in,There is no need to forgive
We No Who U R,Push The Sky Away,And we breathe it in,There is no need to forgive,The trees will burn like blackened hands
We No Who U R,Push The Sky Away,There is no need to forgive,The trees will burn like blackened hands,And we return with the light of the evening
We No Who U R,Push The Sky Away,The trees will burn like blackened hands,And we return with the light of the evening,The trees will burn like blackened hands
We No Who U R,Push The Sky Away,And we return with the light of the evening,The trees will burn like blackened hands,"There’s nowhere to rest, there’s nowhere to land"
We No Who U R,Push The Sky Away,The trees will burn like blackened hands,"There’s nowhere to rest, there’s nowhere to land",And we know who you are
We No Who U R,Push The Sky Away,"There’s nowhere to rest, there’s nowhere to land",And we know who you are,And we know where you live
We No Who U R,Push The Sky Away,And we know who you are,And we know where you live,And we know there’s no need to forgive
We No Who U R,Push The Sky Away,And we know where you live,And we know there’s no need to forgive,And we know who you are
We No Who U R,Push The Sky Away,And we know there’s no need to forgive,And we know who you are,And we know where you live
We No Who U R,Push The Sky Away,And we know who you are,And we know where you live,And we know there’s no need to forgive
We No Who U R,Push The Sky Away,And we know where you live,And we know there’s no need to forgive,And we know who you are
We No Who U R,Push The Sky Away,And we know there’s no need to forgive,And we know who you are,And we know where you live
We No Who U R,Push The Sky Away,And we know who you are,And we know where you live,And we know there’s no need to forgive
