song,album,prev,lyric,next
Do You Love Me?,Let Love In,,I found her on a night of fire and noise,Wild bells rang in a wild sky
Do You Love Me?,Let Love In,I found her on a night of fire and noise,Wild bells rang in a wild sky,I knew from that moment on
Do You Love Me?,Let Love In,Wild bells rang in a wild sky,I knew from that moment on,I’d love her till the day that I died
Do You Love Me?,Let Love In,I knew from that moment on,I’d love her till the day that I died,And I kissed away a thousand tears
Do You Love Me?,Let Love In,I’d love her till the day that I died,And I kissed away a thousand tears,My lady of the Various Sorrows
Do You Love Me?,Let Love In,And I kissed away a thousand tears,My lady of the Various Sorrows,"Some begged, some borrowed, some stolen"
Do You Love Me?,Let Love In,My lady of the Various Sorrows,"Some begged, some borrowed, some stolen",Some kept safe for tomorrow
Do You Love Me?,Let Love In,"Some begged, some borrowed, some stolen",Some kept safe for tomorrow,"On an endless night, silver star spangled"
Do You Love Me?,Let Love In,Some kept safe for tomorrow,"On an endless night, silver star spangled",The bells from the chapel went jingle-jangle
Do You Love Me?,Let Love In,"On an endless night, silver star spangled",The bells from the chapel went jingle-jangle,
Do You Love Me?,Let Love In,The bells from the chapel went jingle-jangle,,Do you love me?
Do You Love Me?,Let Love In,,Do you love me?,She was given to me to put things right
Do You Love Me?,Let Love In,Do you love me?,She was given to me to put things right,And I stacked all my accomplishments beside her
Do You Love Me?,Let Love In,She was given to me to put things right,And I stacked all my accomplishments beside her,Still I seemed so obsolete and small
Do You Love Me?,Let Love In,And I stacked all my accomplishments beside her,Still I seemed so obsolete and small,I found God and all His devils inside her
Do You Love Me?,Let Love In,Still I seemed so obsolete and small,I found God and all His devils inside her,In my bed she cast the blizzard out
Do You Love Me?,Let Love In,I found God and all His devils inside her,In my bed she cast the blizzard out,A mock sun blazed upon her head
Do You Love Me?,Let Love In,In my bed she cast the blizzard out,A mock sun blazed upon her head,So completely filled with light she was
Do You Love Me?,Let Love In,A mock sun blazed upon her head,So completely filled with light she was,Her shadow fanged and hairy and mad
Do You Love Me?,Let Love In,So completely filled with light she was,Her shadow fanged and hairy and mad,Our love-lines grew hopelessly tangled
Do You Love Me?,Let Love In,Her shadow fanged and hairy and mad,Our love-lines grew hopelessly tangled,And the bells from the chapel went jingle-jangle
Do You Love Me?,Let Love In,Our love-lines grew hopelessly tangled,And the bells from the chapel went jingle-jangle,
Do You Love Me?,Let Love In,And the bells from the chapel went jingle-jangle,,Do you love me?
Do You Love Me?,Let Love In,,Do you love me?,She had a heartful of love and devotion
Do You Love Me?,Let Love In,Do you love me?,She had a heartful of love and devotion,She had a mindful of tyranny and terror
Do You Love Me?,Let Love In,She had a heartful of love and devotion,She had a mindful of tyranny and terror,"Well, I try, I do, I really try"
Do You Love Me?,Let Love In,She had a mindful of tyranny and terror,"Well, I try, I do, I really try","But I just err, baby, I do, I error"
