song,album,prev,lyric,next
Song Of Joy,Murder Ballads,,"Have mercy on me, sir",Allow me to impose on you
Song Of Joy,Murder Ballads,"Have mercy on me, sir",Allow me to impose on you,I have no place to stay
Song Of Joy,Murder Ballads,Allow me to impose on you,I have no place to stay,And my bones are cold right through
Song Of Joy,Murder Ballads,I have no place to stay,And my bones are cold right through,I will tell you a story
Song Of Joy,Murder Ballads,And my bones are cold right through,I will tell you a story,Of a man and his family
Song Of Joy,Murder Ballads,I will tell you a story,Of a man and his family,And I swear that it is true
Song Of Joy,Murder Ballads,Of a man and his family,And I swear that it is true,
Song Of Joy,Murder Ballads,And I swear that it is true,,Ten years ago I met a girl named Joy
Song Of Joy,Murder Ballads,,Ten years ago I met a girl named Joy,She was a sweet and happy thing
Song Of Joy,Murder Ballads,Ten years ago I met a girl named Joy,She was a sweet and happy thing,Her eyes were bright blue jewels
Song Of Joy,Murder Ballads,She was a sweet and happy thing,Her eyes were bright blue jewels,And we were married in the spring
Song Of Joy,Murder Ballads,Her eyes were bright blue jewels,And we were married in the spring,I had no idea what happiness a little love could bring
Song Of Joy,Murder Ballads,And we were married in the spring,I had no idea what happiness a little love could bring,Or what life had in store
Song Of Joy,Murder Ballads,I had no idea what happiness a little love could bring,Or what life had in store,But all things move toward their end
Song Of Joy,Murder Ballads,Or what life had in store,But all things move toward their end,All things move toward their end
Song Of Joy,Murder Ballads,But all things move toward their end,All things move toward their end,On that you can be sure
Song Of Joy,Murder Ballads,All things move toward their end,On that you can be sure,
Song Of Joy,Murder Ballads,On that you can be sure,,La la la la la la la la la la
Song Of Joy,Murder Ballads,,La la la la la la la la la la,La la la la la la la la la la
Song Of Joy,Murder Ballads,La la la la la la la la la la,La la la la la la la la la la,
Song Of Joy,Murder Ballads,La la la la la la la la la la,,Then one morning I awoke to find her weeping
Song Of Joy,Murder Ballads,,Then one morning I awoke to find her weeping,And for many days to follow
Song Of Joy,Murder Ballads,Then one morning I awoke to find her weeping,And for many days to follow,She grew so sad and lonely
Song Of Joy,Murder Ballads,And for many days to follow,She grew so sad and lonely,Became Joy in name only
Song Of Joy,Murder Ballads,She grew so sad and lonely,Became Joy in name only,Within her breast there launched an unnamed sorrow
Song Of Joy,Murder Ballads,Became Joy in name only,Within her breast there launched an unnamed sorrow,And a dark and grim force set sail
Song Of Joy,Murder Ballads,Within her breast there launched an unnamed sorrow,And a dark and grim force set sail,Farewell happy fields
