song,album,prev,lyric,next,artist
The Mercy Seat,Tender Prey,,It began when they come took me from my home,"And put me in Dead Row,",Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,It began when they come took me from my home,"And put me in Dead Row,","Of which I am nearly wholly innocent, you know.",Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,"And put me in Dead Row,","Of which I am nearly wholly innocent, you know.",And I’ll say it again,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,"Of which I am nearly wholly innocent, you know.",And I’ll say it again,I..am..not..afraid..to..die.,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,And I’ll say it again,I..am..not..afraid..to..die.,,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,I..am..not..afraid..to..die.,,I began to warm and chill,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,,I began to warm and chill,"To objects and their fields,",Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,I began to warm and chill,"To objects and their fields,","A ragged cup, a twisted mop",Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,"To objects and their fields,","A ragged cup, a twisted mop",The face of Jesus in my soup,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,"A ragged cup, a twisted mop",The face of Jesus in my soup,Those sinister dinner meals,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,The face of Jesus in my soup,Those sinister dinner meals,The meal trolley’s wicked wheels,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,Those sinister dinner meals,The meal trolley’s wicked wheels,A hooked bone rising from my food,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,The meal trolley’s wicked wheels,A hooked bone rising from my food,All things either good or ungood.,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,A hooked bone rising from my food,All things either good or ungood.,,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,All things either good or ungood.,,An the mercy seat is waiting,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,,An the mercy seat is waiting,And I think my head is burning,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,An the mercy seat is waiting,And I think my head is burning,And in a way I’m yearning,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,And I think my head is burning,And in a way I’m yearning,To be done with all this measuring of truth.,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,And in a way I’m yearning,To be done with all this measuring of truth.,An eye for an eye,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,To be done with all this measuring of truth.,An eye for an eye,A tooth for a tooth,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,An eye for an eye,A tooth for a tooth,An anyway I told the truth,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,A tooth for a tooth,An anyway I told the truth,And I’m not afraid to die.,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,An anyway I told the truth,And I’m not afraid to die.,,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,And I’m not afraid to die.,,Interpret signs and catalogue,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,,Interpret signs and catalogue,"A blackened tooth, a scarlet fog.",Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,Interpret signs and catalogue,"A blackened tooth, a scarlet fog.",The walls are bad.,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,"A blackened tooth, a scarlet fog.",The walls are bad.,Black. Bottom kind.,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,The walls are bad.,Black. Bottom kind.,They are the sick breath at my hind,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,Black. Bottom kind.,They are the sick breath at my hind,They are the sick breath at my hind,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,They are the sick breath at my hind,They are the sick breath at my hind,They are the sick breath at my hind,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,They are the sick breath at my hind,They are the sick breath at my hind,They are the sick breath gathering at my hind,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,They are the sick breath at my hind,They are the sick breath gathering at my hind,,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,They are the sick breath gathering at my hind,,I hear stories from the chamber,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,,I hear stories from the chamber,How Christ was born into a manger,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,I hear stories from the chamber,How Christ was born into a manger,And like some ragged stranger,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,How Christ was born into a manger,And like some ragged stranger,Died upon the cross,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,And like some ragged stranger,Died upon the cross,And might I say it seems so fitting in its way,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,Died upon the cross,And might I say it seems so fitting in its way,He was a carpenter by trade,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,And might I say it seems so fitting in its way,He was a carpenter by trade,Or at least that’s what I’m told.,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,He was a carpenter by trade,Or at least that’s what I’m told.,,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,Or at least that’s what I’m told.,,Like my good hand I,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,,Like my good hand I,Tattooed E.V.I.L. across it’s brother’s fist,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,Like my good hand I,Tattooed E.V.I.L. across it’s brother’s fist,That filthy five! They did nothing to challenge or resist.,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,Tattooed E.V.I.L. across it’s brother’s fist,That filthy five! They did nothing to challenge or resist.,,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,That filthy five! They did nothing to challenge or resist.,,In Heaven His throne is made of gold,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,,In Heaven His throne is made of gold,The ark of His testament is stowed,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,In Heaven His throne is made of gold,The ark of His testament is stowed,A throne from which I’m told,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,The ark of His testament is stowed,A throne from which I’m told,All history does unfold.,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,A throne from which I’m told,All history does unfold.,Down here it’s made of wood & wire,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,All history does unfold.,Down here it’s made of wood & wire,And my body is on fire,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,Down here it’s made of wood & wire,And my body is on fire,And God is never far away.,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,And my body is on fire,And God is never far away.,,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,And God is never far away.,,Into the mercy seat I climb,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,,Into the mercy seat I climb,"My head is shaved, my head is wired",Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,Into the mercy seat I climb,"My head is shaved, my head is wired",And like a moth that tries,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,"My head is shaved, my head is wired",And like a moth that tries,To enter the bright eye,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,And like a moth that tries,To enter the bright eye,I go shuffling out of life,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,To enter the bright eye,I go shuffling out of life,Just to hide in death awhile,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,I go shuffling out of life,Just to hide in death awhile,And anyway I never lied.,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,Just to hide in death awhile,And anyway I never lied.,,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,And anyway I never lied.,,My kill-hand is called E.V.I.L,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,,My kill-hand is called E.V.I.L,Wears a wedding band that’s G.O.O.D,Nick Cave & The Bad Seeds
The Mercy Seat,Tender Prey,My kill-hand is called E.V.I.L,Wears a wedding band that’s G.O.O.D,‘Tis a long-suffering shackle,Nick Cave & The Bad Seeds
