song,album,prev,lyric,next
As I Sat Sadly By Her Side,No More Shall We Part,,As I sat sadly by her side,"At the window, through the glass"
As I Sat Sadly By Her Side,No More Shall We Part,As I sat sadly by her side,"At the window, through the glass",She stroked a kitten in her lap
As I Sat Sadly By Her Side,No More Shall We Part,"At the window, through the glass",She stroked a kitten in her lap,And we watched the world as it fell past
As I Sat Sadly By Her Side,No More Shall We Part,She stroked a kitten in her lap,And we watched the world as it fell past,Softly she spoke these words to me
As I Sat Sadly By Her Side,No More Shall We Part,And we watched the world as it fell past,Softly she spoke these words to me,"And with brand new eyes, open wide"
As I Sat Sadly By Her Side,No More Shall We Part,Softly she spoke these words to me,"And with brand new eyes, open wide",We pressed our faces to the glass
As I Sat Sadly By Her Side,No More Shall We Part,"And with brand new eyes, open wide",We pressed our faces to the glass,As I sat sadly by her side
As I Sat Sadly By Her Side,No More Shall We Part,We pressed our faces to the glass,As I sat sadly by her side,
As I Sat Sadly By Her Side,No More Shall We Part,As I sat sadly by her side,,"She said,”Father, mother, sister, brother,"
As I Sat Sadly By Her Side,No More Shall We Part,,"She said,”Father, mother, sister, brother,","Uncle, aunt, nephew, niece,"
As I Sat Sadly By Her Side,No More Shall We Part,"She said,”Father, mother, sister, brother,","Uncle, aunt, nephew, niece,","Soldier, sailor, physician, labourer,"
As I Sat Sadly By Her Side,No More Shall We Part,"Uncle, aunt, nephew, niece,","Soldier, sailor, physician, labourer,","Actor, scientist, mechanic, priest"
As I Sat Sadly By Her Side,No More Shall We Part,"Soldier, sailor, physician, labourer,","Actor, scientist, mechanic, priest",Earth and moon and sun and stars
As I Sat Sadly By Her Side,No More Shall We Part,"Actor, scientist, mechanic, priest",Earth and moon and sun and stars,Planets and comets with tails blazing
As I Sat Sadly By Her Side,No More Shall We Part,Earth and moon and sun and stars,Planets and comets with tails blazing,All are there forever falling
As I Sat Sadly By Her Side,No More Shall We Part,Planets and comets with tails blazing,All are there forever falling,Falling lovely and amazing”
As I Sat Sadly By Her Side,No More Shall We Part,All are there forever falling,Falling lovely and amazing”,
As I Sat Sadly By Her Side,No More Shall We Part,Falling lovely and amazing”,,Then she smiled and turned to me
As I Sat Sadly By Her Side,No More Shall We Part,,Then she smiled and turned to me,And waited for me to reply
As I Sat Sadly By Her Side,No More Shall We Part,Then she smiled and turned to me,And waited for me to reply,Her hair was falling down her shoulders
As I Sat Sadly By Her Side,No More Shall We Part,And waited for me to reply,Her hair was falling down her shoulders,As I sat sadly by her side
As I Sat Sadly By Her Side,No More Shall We Part,Her hair was falling down her shoulders,As I sat sadly by her side,
As I Sat Sadly By Her Side,No More Shall We Part,As I sat sadly by her side,,As I sat sadly by her side
As I Sat Sadly By Her Side,No More Shall We Part,,As I sat sadly by her side,The kitten she did gently pass
As I Sat Sadly By Her Side,No More Shall We Part,As I sat sadly by her side,The kitten she did gently pass,Over to me and again we pressed
As I Sat Sadly By Her Side,No More Shall We Part,The kitten she did gently pass,Over to me and again we pressed,Our different faces to the glass
As I Sat Sadly By Her Side,No More Shall We Part,Over to me and again we pressed,Our different faces to the glass,"“That may be very well”, I said"
As I Sat Sadly By Her Side,No More Shall We Part,Our different faces to the glass,"“That may be very well”, I said",“But watch the one falling in the street
As I Sat Sadly By Her Side,No More Shall We Part,"“That may be very well”, I said",“But watch the one falling in the street,See him gesture to his neighbours
As I Sat Sadly By Her Side,No More Shall We Part,“But watch the one falling in the street,See him gesture to his neighbours,See him trampled beneath their feet
As I Sat Sadly By Her Side,No More Shall We Part,See him gesture to his neighbours,See him trampled beneath their feet,All outward motion connects to nothing
As I Sat Sadly By Her Side,No More Shall We Part,See him trampled beneath their feet,All outward motion connects to nothing,For each is concerned with their immediate need
As I Sat Sadly By Her Side,No More Shall We Part,All outward motion connects to nothing,For each is concerned with their immediate need,Witness the man reaching up from the gutter
As I Sat Sadly By Her Side,No More Shall We Part,For each is concerned with their immediate need,Witness the man reaching up from the gutter,See the other one stumbling on who can not see”
As I Sat Sadly By Her Side,No More Shall We Part,Witness the man reaching up from the gutter,See the other one stumbling on who can not see”,
As I Sat Sadly By Her Side,No More Shall We Part,See the other one stumbling on who can not see”,,With trembling hand I turned toward her
As I Sat Sadly By Her Side,No More Shall We Part,,With trembling hand I turned toward her,And pushed the hair out of her eyes
As I Sat Sadly By Her Side,No More Shall We Part,With trembling hand I turned toward her,And pushed the hair out of her eyes,The kitten jumped back to her lap
As I Sat Sadly By Her Side,No More Shall We Part,And pushed the hair out of her eyes,The kitten jumped back to her lap,As I sat sadly by her side
As I Sat Sadly By Her Side,No More Shall We Part,The kitten jumped back to her lap,As I sat sadly by her side,
As I Sat Sadly By Her Side,No More Shall We Part,As I sat sadly by her side,,Then she drew the curtains down
As I Sat Sadly By Her Side,No More Shall We Part,,Then she drew the curtains down,"And said, “When will you ever learn"
As I Sat Sadly By Her Side,No More Shall We Part,Then she drew the curtains down,"And said, “When will you ever learn",That what happens there beyond the glass
As I Sat Sadly By Her Side,No More Shall We Part,"And said, “When will you ever learn",That what happens there beyond the glass,Is simply none of your concern?
As I Sat Sadly By Her Side,No More Shall We Part,That what happens there beyond the glass,Is simply none of your concern?,God has given you but one heart
As I Sat Sadly By Her Side,No More Shall We Part,Is simply none of your concern?,God has given you but one heart,You are not a home for the hearts of your
As I Sat Sadly By Her Side,No More Shall We Part,God has given you but one heart,You are not a home for the hearts of your,brothers
As I Sat Sadly By Her Side,No More Shall We Part,You are not a home for the hearts of your,brothers,
As I Sat Sadly By Her Side,No More Shall We Part,brothers,,And God does not care for your benevolence
As I Sat Sadly By Her Side,No More Shall We Part,,And God does not care for your benevolence,Anymore than he cares for the lack of it in others
As I Sat Sadly By Her Side,No More Shall We Part,And God does not care for your benevolence,Anymore than he cares for the lack of it in others,Nor does he care for you to sit
As I Sat Sadly By Her Side,No More Shall We Part,Anymore than he cares for the lack of it in others,Nor does he care for you to sit,At windows in judgement of the world He created
As I Sat Sadly By Her Side,No More Shall We Part,Nor does he care for you to sit,At windows in judgement of the world He created,While sorrows pile up around you
As I Sat Sadly By Her Side,No More Shall We Part,At windows in judgement of the world He created,While sorrows pile up around you,"Ugly, useless and over-inflated”"
As I Sat Sadly By Her Side,No More Shall We Part,While sorrows pile up around you,"Ugly, useless and over-inflated”",
As I Sat Sadly By Her Side,No More Shall We Part,"Ugly, useless and over-inflated”",,At which she turned her head away
As I Sat Sadly By Her Side,No More Shall We Part,,At which she turned her head away,Great tears leaping from her eyes
As I Sat Sadly By Her Side,No More Shall We Part,At which she turned her head away,Great tears leaping from her eyes,I could not wipe the smile from my face
As I Sat Sadly By Her Side,No More Shall We Part,Great tears leaping from her eyes,I could not wipe the smile from my face,As I sat sadly by her side
As I Sat Sadly By Her Side,No More Shall We Part,I could not wipe the smile from my face,As I sat sadly by her side,
And No More Shall We Part,No More Shall We Part,,And no more shall we part,It will no longer be necessary
And No More Shall We Part,No More Shall We Part,And no more shall we part,It will no longer be necessary,"And no more will I say, dear heart"
And No More Shall We Part,No More Shall We Part,It will no longer be necessary,"And no more will I say, dear heart",I am alone and she has left me
And No More Shall We Part,No More Shall We Part,"And no more will I say, dear heart",I am alone and she has left me,
And No More Shall We Part,No More Shall We Part,I am alone and she has left me,,And no more shall we part
And No More Shall We Part,No More Shall We Part,,And no more shall we part,"The contracts are drawn up, the ring is locked"
And No More Shall We Part,No More Shall We Part,And no more shall we part,"The contracts are drawn up, the ring is locked",upon the finger
And No More Shall We Part,No More Shall We Part,"The contracts are drawn up, the ring is locked",upon the finger,And never again will my letters start
And No More Shall We Part,No More Shall We Part,upon the finger,And never again will my letters start,"Sadly, or in the depths of winter"
And No More Shall We Part,No More Shall We Part,And never again will my letters start,"Sadly, or in the depths of winter",
And No More Shall We Part,No More Shall We Part,"Sadly, or in the depths of winter",,And no more shall we part
And No More Shall We Part,No More Shall We Part,,And no more shall we part,All the hatchets have been buried now
And No More Shall We Part,No More Shall We Part,And no more shall we part,All the hatchets have been buried now,And all of birds will sing to your beautiful heart
And No More Shall We Part,No More Shall We Part,All the hatchets have been buried now,And all of birds will sing to your beautiful heart,Upon the bough
And No More Shall We Part,No More Shall We Part,And all of birds will sing to your beautiful heart,Upon the bough,
And No More Shall We Part,No More Shall We Part,Upon the bough,,And no more shall we part
And No More Shall We Part,No More Shall We Part,,And no more shall we part,Your chain of command has been silenced now
And No More Shall We Part,No More Shall We Part,And no more shall we part,Your chain of command has been silenced now,And all of those birds would’ve sung to your
And No More Shall We Part,No More Shall We Part,Your chain of command has been silenced now,And all of those birds would’ve sung to your,beautiful heart
