song,album,prev,lyric,next
Tupelo,The Firstborn Is Dead,,Looka yonder! Looka yonder! Looka yonder! A big black cloud come! O comes to Tupelo. Comes to Tupelo,
Tupelo,The Firstborn Is Dead,Looka yonder! Looka yonder! Looka yonder! A big black cloud come! O comes to Tupelo. Comes to Tupelo,,"Yonder on the horizon. Stopped at the mighty river and. Sucked the damn thing dry. Tupelo-o-o, O Tupelo. In a valley hides a town called Tupelo."
Tupelo,The Firstborn Is Dead,,"Yonder on the horizon. Stopped at the mighty river and. Sucked the damn thing dry. Tupelo-o-o, O Tupelo. In a valley hides a town called Tupelo.",
Tupelo,The Firstborn Is Dead,"Yonder on the horizon. Stopped at the mighty river and. Sucked the damn thing dry. Tupelo-o-o, O Tupelo. In a valley hides a town called Tupelo.",,"Distant thunder rumble. Rumble hungry like the Beast. The Beast it cometh, cometh down. Wo wo wo-o-o. Tupelo bound. Tupelo-o-o. Yeah Tupelo. The Beast it cometh, Tupelo bound."
Tupelo,The Firstborn Is Dead,,"Distant thunder rumble. Rumble hungry like the Beast. The Beast it cometh, cometh down. Wo wo wo-o-o. Tupelo bound. Tupelo-o-o. Yeah Tupelo. The Beast it cometh, Tupelo bound.",
Tupelo,The Firstborn Is Dead,"Distant thunder rumble. Rumble hungry like the Beast. The Beast it cometh, cometh down. Wo wo wo-o-o. Tupelo bound. Tupelo-o-o. Yeah Tupelo. The Beast it cometh, Tupelo bound.",,Why the hen won’t lay no egg. Can’t get that cock to crow. The nag is spooked and crazy. O God help Tupelo! O God help Tupelo!
Tupelo,The Firstborn Is Dead,,Why the hen won’t lay no egg. Can’t get that cock to crow. The nag is spooked and crazy. O God help Tupelo! O God help Tupelo!,
Tupelo,The Firstborn Is Dead,Why the hen won’t lay no egg. Can’t get that cock to crow. The nag is spooked and crazy. O God help Tupelo! O God help Tupelo!,,Ya can say these streets are rivers. Ya can call these rivers streets. Ya can tell ya self ya dreaming buddy. But no sleep runs this deep. No! No sleep runs this deep. No sleep runs this deep. Women at their windows. Rain crashing on the pane. Writing in the frost. Tupelos’ shame. Tupelo’s shame. O God help Tupelo! O God help Tupelo!
Tupelo,The Firstborn Is Dead,,Ya can say these streets are rivers. Ya can call these rivers streets. Ya can tell ya self ya dreaming buddy. But no sleep runs this deep. No! No sleep runs this deep. No sleep runs this deep. Women at their windows. Rain crashing on the pane. Writing in the frost. Tupelos’ shame. Tupelo’s shame. O God help Tupelo! O God help Tupelo!,
Tupelo,The Firstborn Is Dead,Ya can say these streets are rivers. Ya can call these rivers streets. Ya can tell ya self ya dreaming buddy. But no sleep runs this deep. No! No sleep runs this deep. No sleep runs this deep. Women at their windows. Rain crashing on the pane. Writing in the frost. Tupelos’ shame. Tupelo’s shame. O God help Tupelo! O God help Tupelo!,,O go to sleep lil children. The sandmans on his way. O go to sleep lil children. The sandmans on his way. But the lil children know. They listen to the beating of their blood.
Tupelo,The Firstborn Is Dead,,O go to sleep lil children. The sandmans on his way. O go to sleep lil children. The sandmans on his way. But the lil children know. They listen to the beating of their blood.,
Tupelo,The Firstborn Is Dead,O go to sleep lil children. The sandmans on his way. O go to sleep lil children. The sandmans on his way. But the lil children know. They listen to the beating of their blood.,,They listen to the beating of their blood. The sandman’s mud! The sandman’s mud! And the black rain come down. Water water everywhere. Where no bird can fly no fish can swim. Where no bird can fly no fish can swim. No fish can swim. Until The King is born! Until The King is born! In Tupelo! Tupelo-o-o! Til The King is born in Tupelo!
Tupelo,The Firstborn Is Dead,,They listen to the beating of their blood. The sandman’s mud! The sandman’s mud! And the black rain come down. Water water everywhere. Where no bird can fly no fish can swim. Where no bird can fly no fish can swim. No fish can swim. Until The King is born! Until The King is born! In Tupelo! Tupelo-o-o! Til The King is born in Tupelo!,
Tupelo,The Firstborn Is Dead,They listen to the beating of their blood. The sandman’s mud! The sandman’s mud! And the black rain come down. Water water everywhere. Where no bird can fly no fish can swim. Where no bird can fly no fish can swim. No fish can swim. Until The King is born! Until The King is born! In Tupelo! Tupelo-o-o! Til The King is born in Tupelo!,,In a clap-board shack with a roof of tin. Where the rain came down and leaked within. A young mother frozen on a concrete floor. With a bottle and a box and a cradle of straw. Tupelo-o-o! O Tupelo! With a bundle and a box and a cradle of straw.
Tupelo,The Firstborn Is Dead,,In a clap-board shack with a roof of tin. Where the rain came down and leaked within. A young mother frozen on a concrete floor. With a bottle and a box and a cradle of straw. Tupelo-o-o! O Tupelo! With a bundle and a box and a cradle of straw.,
Tupelo,The Firstborn Is Dead,In a clap-board shack with a roof of tin. Where the rain came down and leaked within. A young mother frozen on a concrete floor. With a bottle and a box and a cradle of straw. Tupelo-o-o! O Tupelo! With a bundle and a box and a cradle of straw.,,Well Saturday gives what Sunday steals. And a child is born on his brothers heels. Come Sunday morn the first-born dead. In a shoe-box tied with a ribbon of red. Tupelo-o-o! Hey Tupelo! In a shoe-box buried with a ribbon of red.
Tupelo,The Firstborn Is Dead,,Well Saturday gives what Sunday steals. And a child is born on his brothers heels. Come Sunday morn the first-born dead. In a shoe-box tied with a ribbon of red. Tupelo-o-o! Hey Tupelo! In a shoe-box buried with a ribbon of red.,
Tupelo,The Firstborn Is Dead,Well Saturday gives what Sunday steals. And a child is born on his brothers heels. Come Sunday morn the first-born dead. In a shoe-box tied with a ribbon of red. Tupelo-o-o! Hey Tupelo! In a shoe-box buried with a ribbon of red.,,O ma-ma rock you lil’ one slow. O ma-ma rock your baby. O ma-ma rock your lil’ one slow. O God help Tupelo! O God help Tupelo! Mama rock your lil’ one slow. The lil one will walk on Tupelo. Tupelo-o-o! Yeah Tupelo! And carry the burden of Tupelo. Tupelo-o-o! O Tupelo! Yeah! The King will walk on Tupelo! Tupelo-o-o! O Tupelo! He carried the burden outa Tupelo! Tupelo-o-o! Hey Tupelo! You will reap just what you sow.
Tupelo,The Firstborn Is Dead,,O ma-ma rock you lil’ one slow. O ma-ma rock your baby. O ma-ma rock your lil’ one slow. O God help Tupelo! O God help Tupelo! Mama rock your lil’ one slow. The lil one will walk on Tupelo. Tupelo-o-o! Yeah Tupelo! And carry the burden of Tupelo. Tupelo-o-o! O Tupelo! Yeah! The King will walk on Tupelo! Tupelo-o-o! O Tupelo! He carried the burden outa Tupelo! Tupelo-o-o! Hey Tupelo! You will reap just what you sow.,
Say Goodbye To The Little Girl Tree,The Firstborn Is Dead,,O say goodbye to the little girl tree.,O you know that I must say goodbye.
Say Goodbye To The Little Girl Tree,The Firstborn Is Dead,O say goodbye to the little girl tree.,O you know that I must say goodbye.,To the little girl tree.
Say Goodbye To The Little Girl Tree,The Firstborn Is Dead,O you know that I must say goodbye.,To the little girl tree.,This wall I built around you.
Say Goodbye To The Little Girl Tree,The Firstborn Is Dead,To the little girl tree.,This wall I built around you.,Is made out of stone-lies.
Say Goodbye To The Little Girl Tree,The Firstborn Is Dead,This wall I built around you.,Is made out of stone-lies.,O little girl the truth would be.
Say Goodbye To The Little Girl Tree,The Firstborn Is Dead,Is made out of stone-lies.,O little girl the truth would be.,An axe in thee.
Say Goodbye To The Little Girl Tree,The Firstborn Is Dead,O little girl the truth would be.,An axe in thee.,O father look to your daughter.
Say Goodbye To The Little Girl Tree,The Firstborn Is Dead,An axe in thee.,O father look to your daughter.,Brick of grief and stricken morter.
Say Goodbye To The Little Girl Tree,The Firstborn Is Dead,O father look to your daughter.,Brick of grief and stricken morter.,With this ring.
Say Goodbye To The Little Girl Tree,The Firstborn Is Dead,Brick of grief and stricken morter.,With this ring.,This silver hoop of wire.
Say Goodbye To The Little Girl Tree,The Firstborn Is Dead,With this ring.,This silver hoop of wire.,I bind your maiden mainstem.
Say Goodbye To The Little Girl Tree,The Firstborn Is Dead,This silver hoop of wire.,I bind your maiden mainstem.,Just to keep you as a child.
Say Goodbye To The Little Girl Tree,The Firstborn Is Dead,I bind your maiden mainstem.,Just to keep you as a child.,
Say Goodbye To The Little Girl Tree,The Firstborn Is Dead,Just to keep you as a child.,,O say goodbye to the little girl tree.
Say Goodbye To The Little Girl Tree,The Firstborn Is Dead,,O say goodbye to the little girl tree.,O you know that I must say goodbye.
