song,album,prev,lyric,next
"Papa Won't Leave You, Henry",Henry’s Dream,,I went out walking the other day,The wind hung wet around my neck
"Papa Won't Leave You, Henry",Henry’s Dream,I went out walking the other day,The wind hung wet around my neck,My head it rung with screams and groans
"Papa Won't Leave You, Henry",Henry’s Dream,The wind hung wet around my neck,My head it rung with screams and groans,From the night I spent amongst her bones
"Papa Won't Leave You, Henry",Henry’s Dream,My head it rung with screams and groans,From the night I spent amongst her bones,I past beside the mission house
"Papa Won't Leave You, Henry",Henry’s Dream,From the night I spent amongst her bones,I past beside the mission house,"Where that mad old buzzard, the reverend,"
"Papa Won't Leave You, Henry",Henry’s Dream,I past beside the mission house,"Where that mad old buzzard, the reverend,",Shrieked and flapped about life after you’re dead
"Papa Won't Leave You, Henry",Henry’s Dream,"Where that mad old buzzard, the reverend,",Shrieked and flapped about life after you’re dead,"Well, I thought about my friend, Michel"
"Papa Won't Leave You, Henry",Henry’s Dream,Shrieked and flapped about life after you’re dead,"Well, I thought about my friend, Michel",How they rolled him in linoleum
"Papa Won't Leave You, Henry",Henry’s Dream,"Well, I thought about my friend, Michel",How they rolled him in linoleum,And shot him in the neck
"Papa Won't Leave You, Henry",Henry’s Dream,How they rolled him in linoleum,And shot him in the neck,"A bloody halo, like a think-bubble"
"Papa Won't Leave You, Henry",Henry’s Dream,And shot him in the neck,"A bloody halo, like a think-bubble",Circling his head
"Papa Won't Leave You, Henry",Henry’s Dream,"A bloody halo, like a think-bubble",Circling his head,And I bellowed at the firmament
"Papa Won't Leave You, Henry",Henry’s Dream,Circling his head,And I bellowed at the firmament,Looks like the rains are here to stay
"Papa Won't Leave You, Henry",Henry’s Dream,And I bellowed at the firmament,Looks like the rains are here to stay,And the rain pissed down upon me
"Papa Won't Leave You, Henry",Henry’s Dream,Looks like the rains are here to stay,And the rain pissed down upon me,And washed me all away
"Papa Won't Leave You, Henry",Henry’s Dream,And the rain pissed down upon me,And washed me all away,Saying
"Papa Won't Leave You, Henry",Henry’s Dream,And washed me all away,Saying,
"Papa Won't Leave You, Henry",Henry’s Dream,Saying,,"Papa won’t leave you, Henry"
"Papa Won't Leave You, Henry",Henry’s Dream,,"Papa won’t leave you, Henry","Papa won’t leave you, Boy"
"Papa Won't Leave You, Henry",Henry’s Dream,"Papa won’t leave you, Henry","Papa won’t leave you, Boy","Papa won’t leave you, Henry"
"Papa Won't Leave You, Henry",Henry’s Dream,"Papa won’t leave you, Boy","Papa won’t leave you, Henry","Papa won’t leave you, Boy"
"Papa Won't Leave You, Henry",Henry’s Dream,"Papa won’t leave you, Henry","Papa won’t leave you, Boy","Well, the road is long"
"Papa Won't Leave You, Henry",Henry’s Dream,"Papa won’t leave you, Boy","Well, the road is long",And the road is hard
"Papa Won't Leave You, Henry",Henry’s Dream,"Well, the road is long",And the road is hard,And many fall by the side
"Papa Won't Leave You, Henry",Henry’s Dream,And the road is hard,And many fall by the side,"But Papa won’t leave you, Henry"
"Papa Won't Leave You, Henry",Henry’s Dream,And many fall by the side,"But Papa won’t leave you, Henry",So there ain’t no need to cry
"Papa Won't Leave You, Henry",Henry’s Dream,"But Papa won’t leave you, Henry",So there ain’t no need to cry,
"Papa Won't Leave You, Henry",Henry’s Dream,So there ain’t no need to cry,,And I went on down the road
"Papa Won't Leave You, Henry",Henry’s Dream,,And I went on down the road,He went on down the road
"Papa Won't Leave You, Henry",Henry’s Dream,And I went on down the road,He went on down the road,And I went on down the road
"Papa Won't Leave You, Henry",Henry’s Dream,He went on down the road,And I went on down the road,He went on down the road
"Papa Won't Leave You, Henry",Henry’s Dream,And I went on down the road,He went on down the road,
"Papa Won't Leave You, Henry",Henry’s Dream,He went on down the road,,"Well, the moon it looked exhausted"
"Papa Won't Leave You, Henry",Henry’s Dream,,"Well, the moon it looked exhausted",Like something you should pity
"Papa Won't Leave You, Henry",Henry’s Dream,"Well, the moon it looked exhausted",Like something you should pity,Spent an age-spotted
"Papa Won't Leave You, Henry",Henry’s Dream,Like something you should pity,Spent an age-spotted,Above the sizzling wires of the city
"Papa Won't Leave You, Henry",Henry’s Dream,Spent an age-spotted,Above the sizzling wires of the city,"Well, it reminded me of her face"
"Papa Won't Leave You, Henry",Henry’s Dream,Above the sizzling wires of the city,"Well, it reminded me of her face",Her bleached and hungry eyes
"Papa Won't Leave You, Henry",Henry’s Dream,"Well, it reminded me of her face",Her bleached and hungry eyes,Her hair was like a curtain
"Papa Won't Leave You, Henry",Henry’s Dream,Her bleached and hungry eyes,Her hair was like a curtain,Falling open with the laughter
"Papa Won't Leave You, Henry",Henry’s Dream,Her hair was like a curtain,Falling open with the laughter,And closing with the lies
"Papa Won't Leave You, Henry",Henry’s Dream,Falling open with the laughter,And closing with the lies,But the ghost of her still lingers on
"Papa Won't Leave You, Henry",Henry’s Dream,And closing with the lies,But the ghost of her still lingers on,Though she’s passed through me
"Papa Won't Leave You, Henry",Henry’s Dream,But the ghost of her still lingers on,Though she’s passed through me,And is gone
"Papa Won't Leave You, Henry",Henry’s Dream,Though she’s passed through me,And is gone,"The slum dogs, they are barking"
"Papa Won't Leave You, Henry",Henry’s Dream,And is gone,"The slum dogs, they are barking",And the rain children on the streets
"Papa Won't Leave You, Henry",Henry’s Dream,"The slum dogs, they are barking",And the rain children on the streets,And the tears that we will weep today
"Papa Won't Leave You, Henry",Henry’s Dream,And the rain children on the streets,And the tears that we will weep today,Will all be washed away
"Papa Won't Leave You, Henry",Henry’s Dream,And the tears that we will weep today,Will all be washed away,By the tears that we will weep again tomorrow
"Papa Won't Leave You, Henry",Henry’s Dream,Will all be washed away,By the tears that we will weep again tomorrow,
"Papa Won't Leave You, Henry",Henry’s Dream,By the tears that we will weep again tomorrow,,"Papa won’t leave you, Henry"
"Papa Won't Leave You, Henry",Henry’s Dream,,"Papa won’t leave you, Henry","Papa won’t leave you, Boy"
"Papa Won't Leave You, Henry",Henry’s Dream,"Papa won’t leave you, Henry","Papa won’t leave you, Boy","Papa won’t leave you, Henry"
"Papa Won't Leave You, Henry",Henry’s Dream,"Papa won’t leave you, Boy","Papa won’t leave you, Henry","Papa won’t leave you, Boy"
"Papa Won't Leave You, Henry",Henry’s Dream,"Papa won’t leave you, Henry","Papa won’t leave you, Boy",For the road is long
"Papa Won't Leave You, Henry",Henry’s Dream,"Papa won’t leave you, Boy",For the road is long,And the road is hard
"Papa Won't Leave You, Henry",Henry’s Dream,For the road is long,And the road is hard,And many fall by the side
"Papa Won't Leave You, Henry",Henry’s Dream,And the road is hard,And many fall by the side,"But Papa won’t leave you, Henry"
"Papa Won't Leave You, Henry",Henry’s Dream,And many fall by the side,"But Papa won’t leave you, Henry",So there ain’t no need to cry
"Papa Won't Leave You, Henry",Henry’s Dream,"But Papa won’t leave you, Henry",So there ain’t no need to cry,
"Papa Won't Leave You, Henry",Henry’s Dream,So there ain’t no need to cry,,And I went on down the road
"Papa Won't Leave You, Henry",Henry’s Dream,,And I went on down the road,He went on down the road
"Papa Won't Leave You, Henry",Henry’s Dream,And I went on down the road,He went on down the road,And I went on down the road
