song,album,prev,lyric,next,artist
Into My Arms,The Boatman's Call,,I don’t believe in an interventionist God,"But I know, darling, that you do",Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,I don’t believe in an interventionist God,"But I know, darling, that you do",But if I did I would kneel down and ask Him,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,"But I know, darling, that you do",But if I did I would kneel down and ask Him,Not to intervene when it came to you,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,But if I did I would kneel down and ask Him,Not to intervene when it came to you,Not to touch a hair on your head,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,Not to intervene when it came to you,Not to touch a hair on your head,To leave you as you are,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,Not to touch a hair on your head,To leave you as you are,And if He felt He had to direct you,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,To leave you as you are,And if He felt He had to direct you,Then direct you into my arms,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,And if He felt He had to direct you,Then direct you into my arms,,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,Then direct you into my arms,,"Into my arms, O Lord",Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,,"Into my arms, O Lord","Into my arms, O Lord",Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,"Into my arms, O Lord","Into my arms, O Lord","Into my arms, O Lord",Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,"Into my arms, O Lord","Into my arms, O Lord",Into my arms,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,"Into my arms, O Lord",Into my arms,,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,Into my arms,,And I don’t believe in the existence of angels,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,,And I don’t believe in the existence of angels,But looking at you I wonder if that’s true,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,And I don’t believe in the existence of angels,But looking at you I wonder if that’s true,But if I did I would summon them together,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,But looking at you I wonder if that’s true,But if I did I would summon them together,And ask them to watch over you,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,But if I did I would summon them together,And ask them to watch over you,To each burn a candle for you,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,And ask them to watch over you,To each burn a candle for you,To make bright and clear your path,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,To each burn a candle for you,To make bright and clear your path,"And to walk, like Christ, in grace and love",Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,To make bright and clear your path,"And to walk, like Christ, in grace and love",And guide you into my arms,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,"And to walk, like Christ, in grace and love",And guide you into my arms,,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,And guide you into my arms,,"Into my arms, O Lord",Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,,"Into my arms, O Lord","Into my arms, O Lord",Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,"Into my arms, O Lord","Into my arms, O Lord","Into my arms, O Lord",Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,"Into my arms, O Lord","Into my arms, O Lord",Into my arms,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,"Into my arms, O Lord",Into my arms,,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,Into my arms,,But I believe in Love,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,,But I believe in Love,And I know that you do too,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,But I believe in Love,And I know that you do too,And I believe in some kind of path,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,And I know that you do too,And I believe in some kind of path,"That we can walk down, me and you",Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,And I believe in some kind of path,"That we can walk down, me and you",So keep your candles burning,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,"That we can walk down, me and you",So keep your candles burning,And make her journey bright and pure,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,So keep your candles burning,And make her journey bright and pure,That she will keep returning,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,And make her journey bright and pure,That she will keep returning,Always and evermore,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,That she will keep returning,Always and evermore,,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,Always and evermore,,"Into my arms, O Lord",Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,,"Into my arms, O Lord","Into my arms, O Lord",Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,"Into my arms, O Lord","Into my arms, O Lord","Into my arms, O Lord",Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,"Into my arms, O Lord","Into my arms, O Lord",Into my arms,Nick Cave & The Bad Seeds
Into My Arms,The Boatman's Call,"Into my arms, O Lord",Into my arms,,Nick Cave & The Bad Seeds
Lime Tree Arbour,The Boatman's Call,,The boatman calls from the lake,A lone loon dives upon the water,Nick Cave & The Bad Seeds
Lime Tree Arbour,The Boatman's Call,The boatman calls from the lake,A lone loon dives upon the water,I put my hand over hers,Nick Cave & The Bad Seeds
Lime Tree Arbour,The Boatman's Call,A lone loon dives upon the water,I put my hand over hers,Down in the lime tree arbour,Nick Cave & The Bad Seeds
Lime Tree Arbour,The Boatman's Call,I put my hand over hers,Down in the lime tree arbour,The wind in the trees is whispering,Nick Cave & The Bad Seeds
Lime Tree Arbour,The Boatman's Call,Down in the lime tree arbour,The wind in the trees is whispering,Whispering low that I love her,Nick Cave & The Bad Seeds
Lime Tree Arbour,The Boatman's Call,The wind in the trees is whispering,Whispering low that I love her,She puts her hand over mine,Nick Cave & The Bad Seeds
Lime Tree Arbour,The Boatman's Call,Whispering low that I love her,She puts her hand over mine,Down in the lime tree arbour,Nick Cave & The Bad Seeds
Lime Tree Arbour,The Boatman's Call,She puts her hand over mine,Down in the lime tree arbour,,Nick Cave & The Bad Seeds
Lime Tree Arbour,The Boatman's Call,Down in the lime tree arbour,,Through every breath that I breathe,Nick Cave & The Bad Seeds
Lime Tree Arbour,The Boatman's Call,,Through every breath that I breathe,And every place I go,Nick Cave & The Bad Seeds
Lime Tree Arbour,The Boatman's Call,Through every breath that I breathe,And every place I go,There is a hand that protects me,Nick Cave & The Bad Seeds
Lime Tree Arbour,The Boatman's Call,And every place I go,There is a hand that protects me,And I do love her so,Nick Cave & The Bad Seeds
Lime Tree Arbour,The Boatman's Call,There is a hand that protects me,And I do love her so,,Nick Cave & The Bad Seeds
Lime Tree Arbour,The Boatman's Call,And I do love her so,,There will always be suffering,Nick Cave & The Bad Seeds
Lime Tree Arbour,The Boatman's Call,,There will always be suffering,It flows through life like water,Nick Cave & The Bad Seeds
