song,album,prev,lyric,next
I’m Gonna Kill That Woman,Kicking Against The Pricks,"Yeah, yeah, yeah, my baby stayed out all night long, all night long",She keep me worried all the time,"Yeah, yeah, yeah, my baby stayed out all night long, all night long"
I’m Gonna Kill That Woman,Kicking Against The Pricks,She keep me worried all the time,"Yeah, yeah, yeah, my baby stayed out all night long, all night long",She keep me worried all the time
I’m Gonna Kill That Woman,Kicking Against The Pricks,"Yeah, yeah, yeah, my baby stayed out all night long, all night long",She keep me worried all the time,
I’m Gonna Kill That Woman,Kicking Against The Pricks,She keep me worried all the time,,"Yeah, yeah, yeah, I lay down last night I was thinking, I lay down"
I’m Gonna Kill That Woman,Kicking Against The Pricks,,"Yeah, yeah, yeah, I lay down last night I was thinking, I lay down",I lay down last night I was thinking
I’m Gonna Kill That Woman,Kicking Against The Pricks,"Yeah, yeah, yeah, I lay down last night I was thinking, I lay down",I lay down last night I was thinking,Must I kill that woman? Must I kill that woman?
I’m Gonna Kill That Woman,Kicking Against The Pricks,I lay down last night I was thinking,Must I kill that woman? Must I kill that woman?,"Oh Lord, I get down on my knees"
I’m Gonna Kill That Woman,Kicking Against The Pricks,Must I kill that woman? Must I kill that woman?,"Oh Lord, I get down on my knees",They tell me God forgivin’
I’m Gonna Kill That Woman,Kicking Against The Pricks,"Oh Lord, I get down on my knees",They tell me God forgivin’,They tell me God forgivin’ everything you do
I’m Gonna Kill That Woman,Kicking Against The Pricks,They tell me God forgivin’,They tell me God forgivin’ everything you do,But I don’t care what the people say
I’m Gonna Kill That Woman,Kicking Against The Pricks,They tell me God forgivin’ everything you do,But I don’t care what the people say,I’m gonna kill that woman
I’m Gonna Kill That Woman,Kicking Against The Pricks,But I don’t care what the people say,I’m gonna kill that woman,"I’m gonna kill that woman, God knows"
I’m Gonna Kill That Woman,Kicking Against The Pricks,I’m gonna kill that woman,"I’m gonna kill that woman, God knows",I’m gonna get down on my knees
I’m Gonna Kill That Woman,Kicking Against The Pricks,"I’m gonna kill that woman, God knows",I’m gonna get down on my knees,
Sleeping Annaleah,Kicking Against The Pricks,,Yesterday the sun was shining but you’re finding the sun it,Don’t shine all the time
Sleeping Annaleah,Kicking Against The Pricks,Yesterday the sun was shining but you’re finding the sun it,Don’t shine all the time,A winter day suddenly came your way
Sleeping Annaleah,Kicking Against The Pricks,Don’t shine all the time,A winter day suddenly came your way,And you ran into your mind
Sleeping Annaleah,Kicking Against The Pricks,A winter day suddenly came your way,And you ran into your mind,
Sleeping Annaleah,Kicking Against The Pricks,And you ran into your mind,,Sleeping Annaleah
Sleeping Annaleah,Kicking Against The Pricks,,Sleeping Annaleah,Weeping Annaleah
Sleeping Annaleah,Kicking Against The Pricks,Sleeping Annaleah,Weeping Annaleah,Do you think you’re ready for me?
Sleeping Annaleah,Kicking Against The Pricks,Weeping Annaleah,Do you think you’re ready for me?,
Sleeping Annaleah,Kicking Against The Pricks,Do you think you’re ready for me?,,"Oh and yesterday is gone forever and ever, never"
Sleeping Annaleah,Kicking Against The Pricks,,"Oh and yesterday is gone forever and ever, never",To be again
Sleeping Annaleah,Kicking Against The Pricks,"Oh and yesterday is gone forever and ever, never",To be again,"You looked for the sunshine, that brought warmth to your mind"
Sleeping Annaleah,Kicking Against The Pricks,To be again,"You looked for the sunshine, that brought warmth to your mind",But find only rain
Sleeping Annaleah,Kicking Against The Pricks,"You looked for the sunshine, that brought warmth to your mind",But find only rain,
Sleeping Annaleah,Kicking Against The Pricks,But find only rain,,Sleeping Annaleah
Sleeping Annaleah,Kicking Against The Pricks,,Sleeping Annaleah,Weeping Annaleah
Sleeping Annaleah,Kicking Against The Pricks,Sleeping Annaleah,Weeping Annaleah,"No, you’re not ready for me"
Sleeping Annaleah,Kicking Against The Pricks,Weeping Annaleah,"No, you’re not ready for me","But when yesterday becomes a memory, a memory"
Sleeping Annaleah,Kicking Against The Pricks,"No, you’re not ready for me","But when yesterday becomes a memory, a memory",That we uncovered in time
Sleeping Annaleah,Kicking Against The Pricks,"But when yesterday becomes a memory, a memory",That we uncovered in time,If you still remember that cold September
Sleeping Annaleah,Kicking Against The Pricks,That we uncovered in time,If you still remember that cold September,I reigned in your mind
Sleeping Annaleah,Kicking Against The Pricks,If you still remember that cold September,I reigned in your mind,Sleeping Annaleah
Sleeping Annaleah,Kicking Against The Pricks,I reigned in your mind,Sleeping Annaleah,Weeping Annaleah
