song,prev,lyric,next,album,year,artist
Heathen Child,You think your children will protect you,You are wrong,You think your government will protect you,Grinderman 2,2010,Grinderman
Heathen Child,You are wrong,You think your government will protect you,You are wrong,Grinderman 2,2010,Grinderman
Heathen Child,You think your government will protect you,You are wrong,She don’t care about Allah,Grinderman 2,2010,Grinderman
Heathen Child,You are wrong,She don’t care about Allah,She is the Allah,Grinderman 2,2010,Grinderman
Heathen Child,She don’t care about Allah,She is the Allah,She don’t care about Buddah,Grinderman 2,2010,Grinderman
Heathen Child,She is the Allah,She don’t care about Buddah,She is the Buddah,Grinderman 2,2010,Grinderman
Heathen Child,She don’t care about Buddah,She is the Buddah,,Grinderman 2,2010,Grinderman
Heathen Child,She is the Buddah,,She’s a heathen child,Grinderman 2,2010,Grinderman
Heathen Child,,She’s a heathen child,She’s a heathen child,Grinderman 2,2010,Grinderman
Heathen Child,She’s a heathen child,She’s a heathen child,She’s a heathen child,Grinderman 2,2010,Grinderman
Heathen Child,She’s a heathen child,She’s a heathen child,She’s a real wild child,Grinderman 2,2010,Grinderman
Heathen Child,She’s a heathen child,She’s a real wild child,,Grinderman 2,2010,Grinderman
Heathen Child,She’s a real wild child,,Down child! Down child!,Grinderman 2,2010,Grinderman
Heathen Child,,Down child! Down child!,,Grinderman 2,2010,Grinderman
When My Baby Comes,,Thank God we don’t get all our hurts,At once that would be really really bad thing,Grinderman 2,2010,Grinderman
When My Baby Comes,Thank God we don’t get all our hurts,At once that would be really really bad thing,When my baby comes,Grinderman 2,2010,Grinderman
When My Baby Comes,At once that would be really really bad thing,When my baby comes,Thank God we don’t get all our olds at the one time,Grinderman 2,2010,Grinderman
When My Baby Comes,When my baby comes,Thank God we don’t get all our olds at the one time,O listen to me talking in my hospital gown!,Grinderman 2,2010,Grinderman
When My Baby Comes,Thank God we don’t get all our olds at the one time,O listen to me talking in my hospital gown!,When my baby comes,Grinderman 2,2010,Grinderman
When My Baby Comes,O listen to me talking in my hospital gown!,When my baby comes,Best thing about this place are the showers,Grinderman 2,2010,Grinderman
When My Baby Comes,When my baby comes,Best thing about this place are the showers,Worst thing is the visiting hours,Grinderman 2,2010,Grinderman
When My Baby Comes,Best thing about this place are the showers,Worst thing is the visiting hours,"Hey, careful of the carpet",Grinderman 2,2010,Grinderman
When My Baby Comes,Worst thing is the visiting hours,"Hey, careful of the carpet",When my baby comes,Grinderman 2,2010,Grinderman
When My Baby Comes,"Hey, careful of the carpet",When my baby comes,They had pistols and they had guns,Grinderman 2,2010,Grinderman
When My Baby Comes,When my baby comes,They had pistols and they had guns,They threw me on the ground and they entered into me,Grinderman 2,2010,Grinderman
When My Baby Comes,They had pistols and they had guns,They threw me on the ground and they entered into me,I was only fifteen,Grinderman 2,2010,Grinderman
When My Baby Comes,They threw me on the ground and they entered into me,I was only fifteen,When my baby comes,Grinderman 2,2010,Grinderman
When My Baby Comes,I was only fifteen,When my baby comes,,Grinderman 2,2010,Grinderman
When My Baby Comes,When my baby comes,,"Just how long you gonna be, my baby?",Grinderman 2,2010,Grinderman
When My Baby Comes,,"Just how long you gonna be, my baby?","Just how long you gonna be, my baby?",Grinderman 2,2010,Grinderman
When My Baby Comes,"Just how long you gonna be, my baby?","Just how long you gonna be, my baby?",Until you come?,Grinderman 2,2010,Grinderman
When My Baby Comes,"Just how long you gonna be, my baby?",Until you come?,"Just how long you gonna be, my baby?",Grinderman 2,2010,Grinderman
When My Baby Comes,Until you come?,"Just how long you gonna be, my baby?","Just how long you gonna be, my baby?",Grinderman 2,2010,Grinderman
When My Baby Comes,"Just how long you gonna be, my baby?","Just how long you gonna be, my baby?",Until you come?,Grinderman 2,2010,Grinderman
When My Baby Comes,"Just how long you gonna be, my baby?",Until you come?,,Grinderman 2,2010,Grinderman
When My Baby Comes,Until you come?,,She got hands as white as milk,Grinderman 2,2010,Grinderman
When My Baby Comes,,She got hands as white as milk,And she weaves a loop of spider’s silk that glistens,Grinderman 2,2010,Grinderman
When My Baby Comes,She got hands as white as milk,And she weaves a loop of spider’s silk that glistens,When my baby comes,Grinderman 2,2010,Grinderman
When My Baby Comes,And she weaves a loop of spider’s silk that glistens,When my baby comes,There is an ancient question behind her eyes,Grinderman 2,2010,Grinderman
When My Baby Comes,When my baby comes,There is an ancient question behind her eyes,That I can’t even begin to describe,Grinderman 2,2010,Grinderman
When My Baby Comes,There is an ancient question behind her eyes,That I can’t even begin to describe,"Hey, listen don’t do that on the carpet!",Grinderman 2,2010,Grinderman
When My Baby Comes,That I can’t even begin to describe,"Hey, listen don’t do that on the carpet!",When my baby comes,Grinderman 2,2010,Grinderman
When My Baby Comes,"Hey, listen don’t do that on the carpet!",When my baby comes,Is there anyone out there feel they wasted their lives?,Grinderman 2,2010,Grinderman
When My Baby Comes,When my baby comes,Is there anyone out there feel they wasted their lives?,On booze and drugs and husbands and wives and making money?,Grinderman 2,2010,Grinderman
When My Baby Comes,Is there anyone out there feel they wasted their lives?,On booze and drugs and husbands and wives and making money?,When my baby comes,Grinderman 2,2010,Grinderman
When My Baby Comes,On booze and drugs and husbands and wives and making money?,When my baby comes,"Well, they had pistols and they had guns, my skirt above my head",Grinderman 2,2010,Grinderman
When My Baby Comes,When my baby comes,"Well, they had pistols and they had guns, my skirt above my head","Well, I was so much older when I crawled out",Grinderman 2,2010,Grinderman
When My Baby Comes,"Well, they had pistols and they had guns, my skirt above my head","Well, I was so much older when I crawled out",From under their mushroom cloud,Grinderman 2,2010,Grinderman
When My Baby Comes,"Well, I was so much older when I crawled out",From under their mushroom cloud,,Grinderman 2,2010,Grinderman
When My Baby Comes,From under their mushroom cloud,,"Just how long you gonna be, my baby?",Grinderman 2,2010,Grinderman
When My Baby Comes,,"Just how long you gonna be, my baby?","Just how long you gonna be, my baby?",Grinderman 2,2010,Grinderman
When My Baby Comes,"Just how long you gonna be, my baby?","Just how long you gonna be, my baby?",Until you come?,Grinderman 2,2010,Grinderman
When My Baby Comes,"Just how long you gonna be, my baby?",Until you come?,"Just how long you gonna be, my baby?",Grinderman 2,2010,Grinderman
When My Baby Comes,Until you come?,"Just how long you gonna be, my baby?","Just how long you gonna be, my baby?",Grinderman 2,2010,Grinderman
When My Baby Comes,"Just how long you gonna be, my baby?","Just how long you gonna be, my baby?",Until you come?,Grinderman 2,2010,Grinderman
When My Baby Comes,"Just how long you gonna be, my baby?",Until you come?,"Just how long you gonna be, my baby?",Grinderman 2,2010,Grinderman
When My Baby Comes,Until you come?,"Just how long you gonna be, my baby?","Just how long you gonna be, my baby?",Grinderman 2,2010,Grinderman
When My Baby Comes,"Just how long you gonna be, my baby?","Just how long you gonna be, my baby?",Until you come?,Grinderman 2,2010,Grinderman
When My Baby Comes,"Just how long you gonna be, my baby?",Until you come?,When she comes,Grinderman 2,2010,Grinderman
When My Baby Comes,Until you come?,When she comes,When she comes,Grinderman 2,2010,Grinderman
When My Baby Comes,When she comes,When she comes,,Grinderman 2,2010,Grinderman
What I Know,,"Yes, I know",I know,Grinderman 2,2010,Grinderman
What I Know,"Yes, I know",I know,I know it,Grinderman 2,2010,Grinderman
What I Know,I know,I know it,From the day,Grinderman 2,2010,Grinderman
What I Know,I know it,From the day,That I was born,Grinderman 2,2010,Grinderman
What I Know,From the day,That I was born,"Yes, I know",Grinderman 2,2010,Grinderman
What I Know,That I was born,"Yes, I know",From the time,Grinderman 2,2010,Grinderman
What I Know,"Yes, I know",From the time,I went to school,Grinderman 2,2010,Grinderman
What I Know,From the time,I went to school,"Yes, I know",Grinderman 2,2010,Grinderman
What I Know,I went to school,"Yes, I know",From the time,Grinderman 2,2010,Grinderman
What I Know,"Yes, I know",From the time,I was teenager,Grinderman 2,2010,Grinderman
What I Know,From the time,I was teenager,"I know, I know",Grinderman 2,2010,Grinderman
What I Know,I was teenager,"I know, I know",From the time,Grinderman 2,2010,Grinderman
What I Know,"I know, I know",From the time,I got married,Grinderman 2,2010,Grinderman
What I Know,From the time,I got married,"Hey, I know",Grinderman 2,2010,Grinderman
What I Know,I got married,"Hey, I know",A million things,Grinderman 2,2010,Grinderman
What I Know,"Hey, I know",A million things,Are gonna happen to me,Grinderman 2,2010,Grinderman
What I Know,A million things,Are gonna happen to me,In rooms that are much like this,Grinderman 2,2010,Grinderman
What I Know,Are gonna happen to me,In rooms that are much like this,But it will never be enough,Grinderman 2,2010,Grinderman
What I Know,In rooms that are much like this,But it will never be enough,It will never ever be enough,Grinderman 2,2010,Grinderman
What I Know,But it will never be enough,It will never ever be enough,So you better come over here,Grinderman 2,2010,Grinderman
What I Know,It will never ever be enough,So you better come over here,So you better come over here,Grinderman 2,2010,Grinderman
What I Know,So you better come over here,So you better come over here,So you better come over here,Grinderman 2,2010,Grinderman
What I Know,So you better come over here,So you better come over here,So you better come over here,Grinderman 2,2010,Grinderman
What I Know,So you better come over here,So you better come over here,Cause yeah I know,Grinderman 2,2010,Grinderman
What I Know,So you better come over here,Cause yeah I know,I know,Grinderman 2,2010,Grinderman
What I Know,Cause yeah I know,I know,Never,Grinderman 2,2010,Grinderman
What I Know,I know,Never,Ever,Grinderman 2,2010,Grinderman
What I Know,Never,Ever,No,Grinderman 2,2010,Grinderman
What I Know,Ever,No,,Grinderman 2,2010,Grinderman
Evil!,,"O baby, baby, baby!",O my precious baby!,Grinderman 2,2010,Grinderman
Evil!,"O baby, baby, baby!",O my precious baby!,,Grinderman 2,2010,Grinderman
Evil!,O my precious baby!,,"O baby, baby, baby!",Grinderman 2,2010,Grinderman
Evil!,,"O baby, baby, baby!",Who needs the stars? You are my star!,Grinderman 2,2010,Grinderman
Evil!,"O baby, baby, baby!",Who needs the stars? You are my star!,Who needs the moon? You are my moon!,Grinderman 2,2010,Grinderman
Evil!,Who needs the stars? You are my star!,Who needs the moon? You are my moon!,"O baby, baby, baby!",Grinderman 2,2010,Grinderman
Evil!,Who needs the moon? You are my moon!,"O baby, baby, baby!",,Grinderman 2,2010,Grinderman
Evil!,"O baby, baby, baby!",,Evil! Evil! Evil! Evil!,Grinderman 2,2010,Grinderman
Evil!,,Evil! Evil! Evil! Evil!,,Grinderman 2,2010,Grinderman
Evil!,Evil! Evil! Evil! Evil!,,"Cling to me, baby, in this rented room",Grinderman 2,2010,Grinderman
Evil!,,"Cling to me, baby, in this rented room",Who needs the TV? You are my TV!,Grinderman 2,2010,Grinderman
Evil!,"Cling to me, baby, in this rented room",Who needs the TV? You are my TV!,Who needs a record player? You are my record player!,Grinderman 2,2010,Grinderman
Evil!,Who needs the TV? You are my TV!,Who needs a record player? You are my record player!,O cling to me baby in this rented room,Grinderman 2,2010,Grinderman
Evil!,Who needs a record player? You are my record player!,O cling to me baby in this rented room,,Grinderman 2,2010,Grinderman
Evil!,O cling to me baby in this rented room,,Evil! Evil! Evil! Evil!,Grinderman 2,2010,Grinderman
Evil!,,Evil! Evil! Evil! Evil!,,Grinderman 2,2010,Grinderman
Evil!,Evil! Evil! Evil! Evil!,,Hear the ringing on the telephone,Grinderman 2,2010,Grinderman
Evil!,,Hear the ringing on the telephone,A voice from a hundred miles away,Grinderman 2,2010,Grinderman
Evil!,Hear the ringing on the telephone,A voice from a hundred miles away,Its breath is heavy and you’re all alone,Grinderman 2,2010,Grinderman
Evil!,A voice from a hundred miles away,Its breath is heavy and you’re all alone,It’s got something that it wants to say,Grinderman 2,2010,Grinderman
Evil!,Its breath is heavy and you’re all alone,It’s got something that it wants to say,It’s got something that it wants to say,Grinderman 2,2010,Grinderman
Evil!,It’s got something that it wants to say,It’s got something that it wants to say,Its breath is heavy and you’re all alone,Grinderman 2,2010,Grinderman
Evil!,It’s got something that it wants to say,Its breath is heavy and you’re all alone,A voice so clear you can feel its breath,Grinderman 2,2010,Grinderman
