song,album,prev,lyric,next,artist,year
"Papa Won't Leave You, Henry",Henry’s Dream,,I went out walking the other day,The wind hung wet around my neck,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,I went out walking the other day,The wind hung wet around my neck,My head it rung with screams and groans,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,The wind hung wet around my neck,My head it rung with screams and groans,From the night I spent amongst her bones,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,My head it rung with screams and groans,From the night I spent amongst her bones,I past beside the mission house,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,From the night I spent amongst her bones,I past beside the mission house,"Where that mad old buzzard, the reverend,",Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,I past beside the mission house,"Where that mad old buzzard, the reverend,",Shrieked and flapped about life after you’re dead,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,"Where that mad old buzzard, the reverend,",Shrieked and flapped about life after you’re dead,"Well, I thought about my friend, Michel",Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,Shrieked and flapped about life after you’re dead,"Well, I thought about my friend, Michel",How they rolled him in linoleum,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,"Well, I thought about my friend, Michel",How they rolled him in linoleum,And shot him in the neck,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,How they rolled him in linoleum,And shot him in the neck,"A bloody halo, like a think-bubble",Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,And shot him in the neck,"A bloody halo, like a think-bubble",Circling his head,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,"A bloody halo, like a think-bubble",Circling his head,And I bellowed at the firmament,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,Circling his head,And I bellowed at the firmament,Looks like the rains are here to stay,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,And I bellowed at the firmament,Looks like the rains are here to stay,And the rain pissed down upon me,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,Looks like the rains are here to stay,And the rain pissed down upon me,And washed me all away,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,And the rain pissed down upon me,And washed me all away,Saying,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,And washed me all away,Saying,,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,Saying,,"Papa won’t leave you, Henry",Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,,"Papa won’t leave you, Henry","Papa won’t leave you, Boy",Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,"Papa won’t leave you, Henry","Papa won’t leave you, Boy","Papa won’t leave you, Henry",Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,"Papa won’t leave you, Boy","Papa won’t leave you, Henry","Papa won’t leave you, Boy",Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,"Papa won’t leave you, Henry","Papa won’t leave you, Boy","Well, the road is long",Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,"Papa won’t leave you, Boy","Well, the road is long",And the road is hard,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,"Well, the road is long",And the road is hard,And many fall by the side,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,And the road is hard,And many fall by the side,"But Papa won’t leave you, Henry",Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,And many fall by the side,"But Papa won’t leave you, Henry",So there ain’t no need to cry,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,"But Papa won’t leave you, Henry",So there ain’t no need to cry,,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,So there ain’t no need to cry,,And I went on down the road,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,,And I went on down the road,He went on down the road,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,And I went on down the road,He went on down the road,And I went on down the road,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,He went on down the road,And I went on down the road,He went on down the road,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,And I went on down the road,He went on down the road,,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,He went on down the road,,"Well, the moon it looked exhausted",Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,,"Well, the moon it looked exhausted",Like something you should pity,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,"Well, the moon it looked exhausted",Like something you should pity,Spent an age-spotted,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,Like something you should pity,Spent an age-spotted,Above the sizzling wires of the city,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,Spent an age-spotted,Above the sizzling wires of the city,"Well, it reminded me of her face",Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,Above the sizzling wires of the city,"Well, it reminded me of her face",Her bleached and hungry eyes,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,"Well, it reminded me of her face",Her bleached and hungry eyes,Her hair was like a curtain,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,Her bleached and hungry eyes,Her hair was like a curtain,Falling open with the laughter,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,Her hair was like a curtain,Falling open with the laughter,And closing with the lies,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,Falling open with the laughter,And closing with the lies,But the ghost of her still lingers on,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,And closing with the lies,But the ghost of her still lingers on,Though she’s passed through me,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,But the ghost of her still lingers on,Though she’s passed through me,And is gone,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,Though she’s passed through me,And is gone,"The slum dogs, they are barking",Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,And is gone,"The slum dogs, they are barking",And the rain children on the streets,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,"The slum dogs, they are barking",And the rain children on the streets,And the tears that we will weep today,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,And the rain children on the streets,And the tears that we will weep today,Will all be washed away,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,And the tears that we will weep today,Will all be washed away,By the tears that we will weep again tomorrow,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,Will all be washed away,By the tears that we will weep again tomorrow,,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,By the tears that we will weep again tomorrow,,"Papa won’t leave you, Henry",Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,,"Papa won’t leave you, Henry","Papa won’t leave you, Boy",Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,"Papa won’t leave you, Henry","Papa won’t leave you, Boy","Papa won’t leave you, Henry",Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,"Papa won’t leave you, Boy","Papa won’t leave you, Henry","Papa won’t leave you, Boy",Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,"Papa won’t leave you, Henry","Papa won’t leave you, Boy",For the road is long,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,"Papa won’t leave you, Boy",For the road is long,And the road is hard,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,For the road is long,And the road is hard,And many fall by the side,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,And the road is hard,And many fall by the side,"But Papa won’t leave you, Henry",Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,And many fall by the side,"But Papa won’t leave you, Henry",So there ain’t no need to cry,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,"But Papa won’t leave you, Henry",So there ain’t no need to cry,,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,So there ain’t no need to cry,,And I went on down the road,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,,And I went on down the road,He went on down the road,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,And I went on down the road,He went on down the road,And I went on down the road,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,He went on down the road,And I went on down the road,He went on down the road,Nick Cave & The Bad Seeds,1992
"Papa Won't Leave You, Henry",Henry’s Dream,And I went on down the road,He went on down the road,,Nick Cave & The Bad Seeds,1992
