song,album,prev,lyric,next,artist,year
Get Ready for Love,Abattoir Blues / The Lyre of Orpheus,,Get ready for love! Praise Him!,Get ready for love! Praise Him!,Nick Cave & The Bad Seeds,2004
Get Ready for Love,Abattoir Blues / The Lyre of Orpheus,Get ready for love! Praise Him!,Get ready for love! Praise Him!,Get ready for love! Get ready!,Nick Cave & The Bad Seeds,2004
Get Ready for Love,Abattoir Blues / The Lyre of Orpheus,Get ready for love! Praise Him!,Get ready for love! Get ready!,,Nick Cave & The Bad Seeds,2004
Get Ready for Love,Abattoir Blues / The Lyre of Orpheus,Get ready for love! Get ready!,,"Well, most of all nothing much",Nick Cave & The Bad Seeds,2004
Get Ready for Love,Abattoir Blues / The Lyre of Orpheus,,"Well, most of all nothing much",ever really happens,Nick Cave & The Bad Seeds,2004
Get Ready for Love,Abattoir Blues / The Lyre of Orpheus,"Well, most of all nothing much",ever really happens,And God rides high up in the ordinary sky,Nick Cave & The Bad Seeds,2004
Get Ready for Love,Abattoir Blues / The Lyre of Orpheus,ever really happens,And God rides high up in the ordinary sky,Until we find ourselves at our most distracted,Nick Cave & The Bad Seeds,2004
Get Ready for Love,Abattoir Blues / The Lyre of Orpheus,And God rides high up in the ordinary sky,Until we find ourselves at our most distracted,And the miracle that was promised,Nick Cave & The Bad Seeds,2004
Get Ready for Love,Abattoir Blues / The Lyre of Orpheus,Until we find ourselves at our most distracted,And the miracle that was promised,creeps quietly by,Nick Cave & The Bad Seeds,2004
Get Ready for Love,Abattoir Blues / The Lyre of Orpheus,And the miracle that was promised,creeps quietly by,,Nick Cave & The Bad Seeds,2004
Get Ready for Love,Abattoir Blues / The Lyre of Orpheus,creeps quietly by,,Calling every boy and girl,Nick Cave & The Bad Seeds,2004
Get Ready for Love,Abattoir Blues / The Lyre of Orpheus,,Calling every boy and girl,Calling all around the world,Nick Cave & The Bad Seeds,2004
Get Ready for Love,Abattoir Blues / The Lyre of Orpheus,Calling every boy and girl,Calling all around the world,Calling every boy and girl,Nick Cave & The Bad Seeds,2004
Get Ready for Love,Abattoir Blues / The Lyre of Orpheus,Calling all around the world,Calling every boy and girl,Calling all around the world,Nick Cave & The Bad Seeds,2004
Get Ready for Love,Abattoir Blues / The Lyre of Orpheus,Calling every boy and girl,Calling all around the world,,Nick Cave & The Bad Seeds,2004
Get Ready for Love,Abattoir Blues / The Lyre of Orpheus,Calling all around the world,,Get ready for love! Praise Him!,Nick Cave & The Bad Seeds,2004
Get Ready for Love,Abattoir Blues / The Lyre of Orpheus,,Get ready for love! Praise Him!,Get ready for love! Praise Him!,Nick Cave & The Bad Seeds,2004
