song,album,prev,lyric,next,artist,year,,
Dumb Europe,Burning the Ice,To fob off on his friends back home,The money-dance …,I find it hard to cope with days like this. Pass the bottle,Die Haut,1983,,
Dumb Europe,Burning the Ice,The money-dance …,I find it hard to cope with days like this. Pass the bottle,"Dumb Europe, Dumb Europe, Dumb Europe",Die Haut,1983,,
Dumb Europe,Burning the Ice,I find it hard to cope with days like this. Pass the bottle,"Dumb Europe, Dumb Europe, Dumb Europe",,Die Haut,1983,,
Dumb Europe,Burning the Ice,"Dumb Europe, Dumb Europe, Dumb Europe",,On this European night out on the brink,Die Haut,1983,,
Dumb Europe,Burning the Ice,,On this European night out on the brink,The cafés and the bars still stink,Die Haut,1983,,
Dumb Europe,Burning the Ice,On this European night out on the brink,The cafés and the bars still stink,The air is much too thick for seeing,Die Haut,1983,,
Dumb Europe,Burning the Ice,The cafés and the bars still stink,The air is much too thick for seeing,But not thick enough for leaning,Die Haut,1983,,
Dumb Europe,Burning the Ice,The air is much too thick for seeing,But not thick enough for leaning,I leave in a catatonic crawl,Die Haut,1983,,
Dumb Europe,Burning the Ice,But not thick enough for leaning,I leave in a catatonic crawl,And if I die tonight then throw me in,Die Haut,1983,,
Dumb Europe,Burning the Ice,I leave in a catatonic crawl,And if I die tonight then throw me in,Some bleak teutonic hole,Die Haut,1983,,
Dumb Europe,Burning the Ice,And if I die tonight then throw me in,Some bleak teutonic hole,Six feet under with a snap-frozen soul,Die Haut,1983,,
Dumb Europe,Burning the Ice,Some bleak teutonic hole,Six feet under with a snap-frozen soul,And really we could all just die of shame,Die Haut,1983,,
Dumb Europe,Burning the Ice,Six feet under with a snap-frozen soul,And really we could all just die of shame,And really we could all just die of shame,Die Haut,1983,,
Dumb Europe,Burning the Ice,And really we could all just die of shame,And really we could all just die of shame,"Dumb Europe, Dumb Europe, Dumb Europe",Die Haut,1983,,
Dumb Europe,Burning the Ice,And really we could all just die of shame,"Dumb Europe, Dumb Europe, Dumb Europe",,Die Haut,1983,,
Pleasure is the Boss,Burning the Ice,,They’re working us like dogs around here,’Cause pleasure is the boss,Die Haut,1983,,
Pleasure is the Boss,Burning the Ice,They’re working us like dogs around here,’Cause pleasure is the boss,And I’m the happiest slave alive around here,Die Haut,1983,,
Pleasure is the Boss,Burning the Ice,’Cause pleasure is the boss,And I’m the happiest slave alive around here,’Cause pleasure is the boss,Die Haut,1983,,
Pleasure is the Boss,Burning the Ice,And I’m the happiest slave alive around here,’Cause pleasure is the boss,And nothing is safe that don’t stand still,Die Haut,1983,,
Pleasure is the Boss,Burning the Ice,’Cause pleasure is the boss,And nothing is safe that don’t stand still,If it’s OK with the boss,Die Haut,1983,,
Pleasure is the Boss,Burning the Ice,And nothing is safe that don’t stand still,If it’s OK with the boss,I’m gunna walk right up and take it yeah,Die Haut,1983,,
Pleasure is the Boss,Burning the Ice,If it’s OK with the boss,I’m gunna walk right up and take it yeah,If it’s OK with the boss,Die Haut,1983,,
Pleasure is the Boss,Burning the Ice,I’m gunna walk right up and take it yeah,If it’s OK with the boss,,Die Haut,1983,,
Pleasure is the Boss,Burning the Ice,If it’s OK with the boss,,Walk!,Die Haut,1983,,
Pleasure is the Boss,Burning the Ice,,Walk!,,Die Haut,1983,,
Pleasure is the Boss,Burning the Ice,Walk!,,What’s OK with the boss is OK with me,Die Haut,1983,,
Pleasure is the Boss,Burning the Ice,,What’s OK with the boss is OK with me,What’s OK with the boss is OK with me,Die Haut,1983,,
Pleasure is the Boss,Burning the Ice,What’s OK with the boss is OK with me,What’s OK with the boss is OK with me,,Die Haut,1983,,
Pleasure is the Boss,Burning the Ice,What’s OK with the boss is OK with me,,What’s OK with the boss is OK with me,Die Haut,1983,,
Pleasure is the Boss,Burning the Ice,,What’s OK with the boss is OK with me,What’s OK with the boss is OK with me,Die Haut,1983,,
Pleasure is the Boss,Burning the Ice,What’s OK with the boss is OK with me,What’s OK with the boss is OK with me,,Die Haut,1983,,
Pleasure is the Boss,Burning the Ice,What’s OK with the boss is OK with me,,What’s OK with the boss is OK with me,Die Haut,1983,,
Pleasure is the Boss,Burning the Ice,,What’s OK with the boss is OK with me,What’s OK with the boss is OK with me,Die Haut,1983,,
Pleasure is the Boss,Burning the Ice,What’s OK with the boss is OK with me,What’s OK with the boss is OK with me,,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,,So you’ve come back for Jennifer,"You know, she hides her face behind a veil",Die Haut,1983,,
Jennifer’s Veil,Mutiny!,So you’ve come back for Jennifer,"You know, she hides her face behind a veil","I’m warning you Frankie, leave on the next train",Die Haut,1983,,
Jennifer’s Veil,Mutiny!,"You know, she hides her face behind a veil","I’m warning you Frankie, leave on the next train",Your Jennifer she just ain’t the same,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,"I’m warning you Frankie, leave on the next train",Your Jennifer she just ain’t the same,Quit waving that thing about! Come back!,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,Your Jennifer she just ain’t the same,Quit waving that thing about! Come back!,Come back and give me a chance to explain,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,Quit waving that thing about! Come back!,Come back and give me a chance to explain,Your baby will never cry again,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,Come back and give me a chance to explain,Your baby will never cry again,,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,Your baby will never cry again,,So don’t try to reach out,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,,So don’t try to reach out,And don’t let the ship’s flag down,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,So don’t try to reach out,And don’t let the ship’s flag down,Point the figure-head at the storm,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,And don’t let the ship’s flag down,Point the figure-head at the storm,And drive her hard upon,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,Point the figure-head at the storm,And drive her hard upon,Don’t stop and don’t stop,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,And drive her hard upon,Don’t stop and don’t stop,And don’t let the veil drop,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,Don’t stop and don’t stop,And don’t let the veil drop,(Another ship ready to sail – the rigging is tight,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,And don’t let the veil drop,(Another ship ready to sail – the rigging is tight,Tight like Jennifer’s veil),Die Haut,1983,,
Jennifer’s Veil,Mutiny!,(Another ship ready to sail – the rigging is tight,Tight like Jennifer’s veil),,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,Tight like Jennifer’s veil),,She drew the curtain on her face,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,,She drew the curtain on her face,Ever since they came and burnt the old place down,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,She drew the curtain on her face,Ever since they came and burnt the old place down,Why is she searching through the ashes?,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,Ever since they came and burnt the old place down,Why is she searching through the ashes?,"Why, only Jennifer knows that now",Die Haut,1983,,
Jennifer’s Veil,Mutiny!,Why is she searching through the ashes?,"Why, only Jennifer knows that now","And the officer, without a word",Die Haut,1983,,
Jennifer’s Veil,Mutiny!,"Why, only Jennifer knows that now","And the officer, without a word",Left all his junk and just moved out,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,"And the officer, without a word",Left all his junk and just moved out,,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,Left all his junk and just moved out,,So don’t try to reach out,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,,So don’t try to reach out,And don’t let the ship’s flag down,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,So don’t try to reach out,And don’t let the ship’s flag down,Point the figure-head at the glass,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,And don’t let the ship’s flag down,Point the figure-head at the glass,Smash! Smash! Into shards,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,Point the figure-head at the glass,Smash! Smash! Into shards,Don’t stop and don’t touch!,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,Smash! Smash! Into shards,Don’t stop and don’t touch!,And don’t let the veil drop … behind Jennifer’s veil,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,Don’t stop and don’t touch!,And don’t let the veil drop … behind Jennifer’s veil,Oh God! Frankie! Is that really you!,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,And don’t let the veil drop … behind Jennifer’s veil,Oh God! Frankie! Is that really you!,Get back! Don’t reach out!,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,Oh God! Frankie! Is that really you!,Get back! Don’t reach out!,"Get back, and get that lantern out of my room!",Die Haut,1983,,
Jennifer’s Veil,Mutiny!,Get back! Don’t reach out!,"Get back, and get that lantern out of my room!",,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,"Get back, and get that lantern out of my room!",,Don’t try to reach out,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,,Don’t try to reach out,And don’t let the ship’s flag down,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,Don’t try to reach out,And don’t let the ship’s flag down,"Down, down over her, like a shroud",Die Haut,1983,,
Jennifer’s Veil,Mutiny!,And don’t let the ship’s flag down,"Down, down over her, like a shroud",And let her sail on the sea like a stone,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,"Down, down over her, like a shroud",And let her sail on the sea like a stone,Don’t touch and don’t touch,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,And let her sail on the sea like a stone,Don’t touch and don’t touch,And don’t let the veil drop,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,Don’t touch and don’t touch,And don’t let the veil drop,Another ship ready to dock … the rigging comes loose …,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,And don’t let the veil drop,Another ship ready to dock … the rigging comes loose …,Loose like Jennifer’s veil,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,Another ship ready to dock … the rigging comes loose …,Loose like Jennifer’s veil,,Die Haut,1983,,
Jennifer’s Veil,Mutiny!,Loose like Jennifer’s veil,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,,Well ah jumpt! and fled this fucken heap on doctored wings,"Mah flailin pinions, with splints and rags and crutches!",The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,Well ah jumpt! and fled this fucken heap on doctored wings,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,"Mah flailin pinions, with splints and rags and crutches!",,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,,(Damn things nearly hardly flap),,The Birthday Party,1983,,That look like …
Mutiny in Heaven,Mutiny!,Canker upon canker upon one million tiny punctures,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,Long thin red ribbons draped across the arms of a lil mortal girl,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,,(Like a ground-plan of Hell),,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,Curse these smartin strings! These fucken ruptures!,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,Enough! Enough is enough!,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,,(If this is Heaven ah’m bailin out),,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,"If this is Heaven, ah’m bailin out!",,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,Ah caint tolerate this ol tin-tub,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,So fulla trash and rats! Felt one crawl across mah soul,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,"For a seckon there, ah thought ah wassa back down in the ghetto!",,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,,(Rats in Paradise! Rats in Paradise!),,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,Ah’m bailin out! There’s a mutiny in Heaven!,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,Ah wassa born …,,,The Birthday Party,1983,like some great stinky unclean!,
Mutiny in Heaven,Mutiny!,"And Lord shakin, even then was dumpt into some icy font",,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,"From slum-church to slum-church, ah spilt mah heart",,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,To some fat cunt behind a screen …,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,Evil poppin eye presst up to the opening,,,The Birthday Party,1983,,blusht
Mutiny in Heaven,Mutiny!,He’d slide shut the lil perforated hatch … at night mah body,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,To the whistle of the birch,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,With a lil practice ah soon learnt to use it on mahself,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,Punishment?! Reward!! Punishment?! Reward!!,,,The Birthday Party,1983,sticken a needle in mah arm …,
Mutiny in Heaven,Mutiny!,"Well, ah tied on … percht on mah bed ah was …",,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,Ah tied off! Fucken wings burst out mah back,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,,(Like ah was cuttin teeth!!),,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,Ah took off!!!,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,,(Rats in Paradise! Rats in Paradise!),,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,There’s a mutiny in Heaven!,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,"Oh Lord, ah git down on mah knees",,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,,(Ah git down on mah knees and start to pray),,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,"Wrapt in mah mongrel wings, ah nearly freeze",,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,In the howlin wind and drivin rain,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,,(All the trash blowin round ’n’ round),,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,From slum-heaven into town,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,Ah take mah tiny pain and rollin back mah sleeve,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,(Roll anna roll anna roll anna roll),,,The Birthday Party,1983,UTOPIATE!,
Mutiny in Heaven,Mutiny!,Ah yank the drip outa mah vein! UTOPIATE! Ah’m bailin out!,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,If this is Heaven ah’m bailin out!,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,Mah threadbare soul teems with vermin and louse,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,Thought comes like a plague to the head … in God’s house!,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,Mutiny in Heaven!,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,,(Ars infectio forco Dio),,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,To the plank!,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,,(Rats in Paradise! Rats in Paradise!),,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,Ah’m bailin out!,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,,(Hail Hypuss Dermio Vita Rex!),,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,Hole inna ghetto! Hole inna ghetto!,,,The Birthday Party,1983,,
Mutiny in Heaven,Mutiny!,,"(Scabio Murem per Sanctum … Dio, Dio, Dio)",,The Birthday Party,1983,,
Swampland,Mutiny!,,"Quixanne, ah’m in its grip","Quixanne, ah’m in its grip",The Birthday Party,1983,,
Swampland,Mutiny!,"Quixanne, ah’m in its grip","Quixanne, ah’m in its grip",Sinken in the mud,The Birthday Party,1983,,
Swampland,Mutiny!,"Quixanne, ah’m in its grip",Sinken in the mud,Patron-saint of the Bog,The Birthday Party,1983,,
Swampland,Mutiny!,Sinken in the mud,Patron-saint of the Bog,They cum with boots of blud,The Birthday Party,1983,,
Swampland,Mutiny!,Patron-saint of the Bog,They cum with boots of blud,With pitchfawk and with club,The Birthday Party,1983,,
Swampland,Mutiny!,They cum with boots of blud,With pitchfawk and with club,Chantin out mah name,The Birthday Party,1983,,
Swampland,Mutiny!,With pitchfawk and with club,Chantin out mah name,Got doggies strainin onna chain,The Birthday Party,1983,,
Swampland,Mutiny!,Chantin out mah name,Got doggies strainin onna chain,"Lucy, ah’ll love ya till the end!",The Birthday Party,1983,,
Swampland,Mutiny!,Got doggies strainin onna chain,"Lucy, ah’ll love ya till the end!",They hunt me like a dog,The Birthday Party,1983,,
Swampland,Mutiny!,"Lucy, ah’ll love ya till the end!",They hunt me like a dog,Down in Sw-a-a-a-amp Land!,The Birthday Party,1983,,
Swampland,Mutiny!,They hunt me like a dog,Down in Sw-a-a-a-amp Land!,,The Birthday Party,1983,,
Swampland,Mutiny!,Down in Sw-a-a-a-amp Land!,,So cum mah executioners! Cum bounty hunters!,The Birthday Party,1983,,
Swampland,Mutiny!,,So cum mah executioners! Cum bounty hunters!,Cum mah county killers – for ah cannot run no more,The Birthday Party,1983,,
Swampland,Mutiny!,So cum mah executioners! Cum bounty hunters!,Cum mah county killers – for ah cannot run no more,Ah cannot run no more,The Birthday Party,1983,,
Swampland,Mutiny!,Cum mah county killers – for ah cannot run no more,Ah cannot run no more,Ah cannot run no more,The Birthday Party,1983,,
Swampland,Mutiny!,Ah cannot run no more,Ah cannot run no more,No I can’t!,The Birthday Party,1983,,
Swampland,Mutiny!,Ah cannot run no more,No I can’t!,"Lucy, ya won’t see this face agin",The Birthday Party,1983,,
Swampland,Mutiny!,No I can’t!,"Lucy, ya won’t see this face agin",When ya caught ya swing and burn …,The Birthday Party,1983,,
Swampland,Mutiny!,"Lucy, ya won’t see this face agin",When ya caught ya swing and burn …,Down in Sw-a-a-a-amp Land!,The Birthday Party,1983,,
Swampland,Mutiny!,When ya caught ya swing and burn …,Down in Sw-a-a-a-amp Land!,,The Birthday Party,1983,,
Swampland,Mutiny!,Down in Sw-a-a-a-amp Land!,,The trees are veiled in fog,The Birthday Party,1983,,
Swampland,Mutiny!,,The trees are veiled in fog,The trees are veiled in fog,The Birthday Party,1983,,
Swampland,Mutiny!,The trees are veiled in fog,The trees are veiled in fog,Like so many jilted brides,The Birthday Party,1983,,
Swampland,Mutiny!,The trees are veiled in fog,Like so many jilted brides,Now they’re all breakin down and cry,The Birthday Party,1983,,
Swampland,Mutiny!,Like so many jilted brides,Now they’re all breakin down and cry,Cryin tears upon mah face,The Birthday Party,1983,,
Swampland,Mutiny!,Now they’re all breakin down and cry,Cryin tears upon mah face,Cryin tears upon mah face,The Birthday Party,1983,,
Swampland,Mutiny!,Cryin tears upon mah face,Cryin tears upon mah face,And they smell of gasoline,The Birthday Party,1983,,
Swampland,Mutiny!,Cryin tears upon mah face,And they smell of gasoline,a-a-a-a-ah scr-e-e-e-a-am,The Birthday Party,1983,,
Swampland,Mutiny!,And they smell of gasoline,a-a-a-a-ah scr-e-e-e-a-am,"Lucy, ya made a sinner out of me",The Birthday Party,1983,,
Swampland,Mutiny!,a-a-a-a-ah scr-e-e-e-a-am,"Lucy, ya made a sinner out of me",Now ah’m burnin like a saint,The Birthday Party,1983,,
Swampland,Mutiny!,"Lucy, ya made a sinner out of me",Now ah’m burnin like a saint,Down in Sw-a-a-a-amp Land!,The Birthday Party,1983,,
Swampland,Mutiny!,Now ah’m burnin like a saint,Down in Sw-a-a-a-amp Land!,So cum mah executioners! Cum mah bounty huntahs!,The Birthday Party,1983,,
Swampland,Mutiny!,Down in Sw-a-a-a-amp Land!,So cum mah executioners! Cum mah bounty huntahs!,Cum mah county killers – ya know ah cannot run no more,The Birthday Party,1983,,
Swampland,Mutiny!,So cum mah executioners! Cum mah bounty huntahs!,Cum mah county killers – ya know ah cannot run no more,No ah cannot run no more,The Birthday Party,1983,,
Swampland,Mutiny!,Cum mah county killers – ya know ah cannot run no more,No ah cannot run no more,,The Birthday Party,1983,,
Vixo,,,Ah fed Vixo on every fear ’n’ fret ’n’ phobia,Til it nor ah could stand the strain no longer,Annie Hogan,1983,,
Vixo,,Ah fed Vixo on every fear ’n’ fret ’n’ phobia,Til it nor ah could stand the strain no longer,"Sucked a chicken-bone, tossed it in the corner",Annie Hogan,1983,,
Vixo,,Til it nor ah could stand the strain no longer,"Sucked a chicken-bone, tossed it in the corner","Raisin up like Lazarus, up, up from its cot",Annie Hogan,1983,,
Vixo,,"Sucked a chicken-bone, tossed it in the corner","Raisin up like Lazarus, up, up from its cot","An making for the door, now …",Annie Hogan,1983,,
Vixo,,"Raisin up like Lazarus, up, up from its cot","An making for the door, now …","Infant-prodigy creates a phantom-friend, yeah",Annie Hogan,1983,,
Vixo,,"An making for the door, now …","Infant-prodigy creates a phantom-friend, yeah",Stickin’ sack an ol’ Jack-Jack into its itchin-ten,Annie Hogan,1983,,
Vixo,,"Infant-prodigy creates a phantom-friend, yeah",Stickin’ sack an ol’ Jack-Jack into its itchin-ten,"Oh! Don’t ya linger! Ooh! Don’t ya linger, now",Annie Hogan,1983,,
Vixo,,Stickin’ sack an ol’ Jack-Jack into its itchin-ten,"Oh! Don’t ya linger! Ooh! Don’t ya linger, now",Mah monster-piece … mah perfect-murder-machine,Annie Hogan,1983,,
Vixo,,"Oh! Don’t ya linger! Ooh! Don’t ya linger, now",Mah monster-piece … mah perfect-murder-machine,"Don’t ya linger, for ah can feel mah youth slipping outa me",Annie Hogan,1983,,
Vixo,,Mah monster-piece … mah perfect-murder-machine,"Don’t ya linger, for ah can feel mah youth slipping outa me","Yeah, ah can feel mah youth slip outa me",Annie Hogan,1983,,
Vixo,,"Don’t ya linger, for ah can feel mah youth slipping outa me","Yeah, ah can feel mah youth slip outa me",,Annie Hogan,1983,,
Vixo,,"Yeah, ah can feel mah youth slip outa me",,"Call it, Call it Vixo. Call it Vee",Annie Hogan,1983,,
Vixo,,,"Call it, Call it Vixo. Call it Vee","Ah all it, an it comes to me",Annie Hogan,1983,,
Vixo,,"Call it, Call it Vixo. Call it Vee","Ah all it, an it comes to me",Call it Vixo. Call it me,Annie Hogan,1983,,
Vixo,,"Ah all it, an it comes to me",Call it Vixo. Call it me,March headlong into the heart of fear,Annie Hogan,1983,,
Vixo,,Call it Vixo. Call it me,March headlong into the heart of fear,Ah will follow thee,Annie Hogan,1983,,
Vixo,,March headlong into the heart of fear,Ah will follow thee,,Annie Hogan,1983,,
Vixo,,Ah will follow thee,,What kept ya? Whaa? What kept ya? You get trouble? Sum’n go wrong?,Annie Hogan,1983,,
Vixo,,,What kept ya? Whaa? What kept ya? You get trouble? Sum’n go wrong?,"Vixo grinning, climbs up into mah lil boy arms",Annie Hogan,1983,,
Vixo,,What kept ya? Whaa? What kept ya? You get trouble? Sum’n go wrong?,"Vixo grinning, climbs up into mah lil boy arms","What you get? Tell me, what ya gone ’n’ brung me from the hollow?",Annie Hogan,1983,,
Vixo,,"Vixo grinning, climbs up into mah lil boy arms","What you get? Tell me, what ya gone ’n’ brung me from the hollow?",Yeah! We’re laughin’ … but our laughter is shallow,Annie Hogan,1983,,
Vixo,,"What you get? Tell me, what ya gone ’n’ brung me from the hollow?",Yeah! We’re laughin’ … but our laughter is shallow,Ain’t it funny … my childhood name is Sorrow,Annie Hogan,1983,,
Vixo,,Yeah! We’re laughin’ … but our laughter is shallow,Ain’t it funny … my childhood name is Sorrow,"Vixo sighs, ’n’ lays its head upon mah pillow",Annie Hogan,1983,,
Vixo,,Ain’t it funny … my childhood name is Sorrow,"Vixo sighs, ’n’ lays its head upon mah pillow",,Annie Hogan,1983,,
Vixo,,"Vixo sighs, ’n’ lays its head upon mah pillow",,Call it. Call it Vixo. Call it Vee,Annie Hogan,1983,,
Vixo,,,Call it. Call it Vixo. Call it Vee,"Call it, an it comes to me",Annie Hogan,1983,,
Vixo,,Call it. Call it Vixo. Call it Vee,"Call it, an it comes to me","Vee … ah … Hex … Oh-oh, come crawl with me",Annie Hogan,1983,,
Vixo,,"Call it, an it comes to me","Vee … ah … Hex … Oh-oh, come crawl with me",Into the dark heart of despair,Annie Hogan,1983,,
Vixo,,"Vee … ah … Hex … Oh-oh, come crawl with me",Into the dark heart of despair,Ah will not forsake thee,Annie Hogan,1983,,
Vixo,,Into the dark heart of despair,Ah will not forsake thee,Listen … Instruction!,Annie Hogan,1983,,
Vixo,,Ah will not forsake thee,Listen … Instruction!,"Ditch it, Pitch it. Now hitch it up along the ridge",Annie Hogan,1983,,
Vixo,,Listen … Instruction!,"Ditch it, Pitch it. Now hitch it up along the ridge",Ya laughin b’neath the Sheriff’s wheels,Annie Hogan,1983,,
Vixo,,"Ditch it, Pitch it. Now hitch it up along the ridge",Ya laughin b’neath the Sheriff’s wheels,That go screamin cross Hooper Bridge,Annie Hogan,1983,,
Vixo,,Ya laughin b’neath the Sheriff’s wheels,That go screamin cross Hooper Bridge,Skirt the out-skirts. Up mah back-stair. Ya sack all undone,Annie Hogan,1983,,
Vixo,,That go screamin cross Hooper Bridge,Skirt the out-skirts. Up mah back-stair. Ya sack all undone,Don’t touch nothin! Water runnin in the tub,Annie Hogan,1983,,
Vixo,,Skirt the out-skirts. Up mah back-stair. Ya sack all undone,Don’t touch nothin! Water runnin in the tub,Get there! and scrub ev’ry one,Annie Hogan,1983,,
Vixo,,Don’t touch nothin! Water runnin in the tub,Get there! and scrub ev’ry one,,Annie Hogan,1983,,
Vixo,,Get there! and scrub ev’ry one,,When ya STRUCK ya struck a thousand crickets dumb,Annie Hogan,1983,,
Vixo,,,When ya STRUCK ya struck a thousand crickets dumb,"Hooper-Hollow iced over then, all hush, hush",Annie Hogan,1983,,
Vixo,,When ya STRUCK ya struck a thousand crickets dumb,"Hooper-Hollow iced over then, all hush, hush",In the cool midday sun,Annie Hogan,1983,,
Vixo,,"Hooper-Hollow iced over then, all hush, hush",In the cool midday sun,Hush! Ah say Hush! Hu-u-u-ush!,Annie Hogan,1983,,
Vixo,,In the cool midday sun,Hush! Ah say Hush! Hu-u-u-ush!,"Sittin on the roof, laugh at mahself",Annie Hogan,1983,,
Vixo,,Hush! Ah say Hush! Hu-u-u-ush!,"Sittin on the roof, laugh at mahself",As they rope off the woods,Annie Hogan,1983,,
Vixo,,"Sittin on the roof, laugh at mahself",As they rope off the woods,Watchin all the good-people,Annie Hogan,1983,,
Vixo,,As they rope off the woods,Watchin all the good-people,go beating the bush,Annie Hogan,1983,,
Vixo,,Watchin all the good-people,go beating the bush,,Annie Hogan,1983,,
