song,album,prev,lyric,next,artist,year,,
Fears of Gun,The Bad Seed,He’s bustin’ Clock (he hates its face),Just sittin’ and talkin’ to Heart in ticks,Talkin’ back to Clock in slow and studied kicks,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Just sittin’ and talkin’ to Heart in ticks,Talkin’ back to Clock in slow and studied kicks,The fears of Gun are the fears of everyone,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Talkin’ back to Clock in slow and studied kicks,The fears of Gun are the fears of everyone,,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,The fears of Gun are the fears of everyone,,Fingers down the throat of love,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,,Fingers down the throat of love,Fingers down the throat of love,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Fingers down the throat of love,Fingers down the throat of love,Fingers down the throat of love,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Fingers down the throat of love,Fingers down the throat of love,Love! Love!,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Fingers down the throat of love,Love! Love!,,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Love! Love!,,Gun does the waltz around the room,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,,Gun does the waltz around the room,Collecting Table and Chairs and Sofa and so on and so on,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Gun does the waltz around the room,Collecting Table and Chairs and Sofa and so on and so on,"Gun wears his best blue suit, now let’s take to the sky",The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Collecting Table and Chairs and Sofa and so on and so on,"Gun wears his best blue suit, now let’s take to the sky",‘We’ll go dancin’ and eatin’ it up,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,"Gun wears his best blue suit, now let’s take to the sky",‘We’ll go dancin’ and eatin’ it up,Get a bottle and push it on down’,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,‘We’ll go dancin’ and eatin’ it up,Get a bottle and push it on down’,And let’s just beat it up,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Get a bottle and push it on down’,And let’s just beat it up,Transistor radio plays an overwhelmingly sad and lonely song,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,And let’s just beat it up,Transistor radio plays an overwhelmingly sad and lonely song,Saying ‘Where she gone? Where she gone?’,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Transistor radio plays an overwhelmingly sad and lonely song,Saying ‘Where she gone? Where she gone?’,The fears of Gun are the fears of everyone,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Saying ‘Where she gone? Where she gone?’,The fears of Gun are the fears of everyone,,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,The fears of Gun are the fears of everyone,,Fingers down the throat of love,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,,Fingers down the throat of love,Fingers down the throat of love,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Fingers down the throat of love,Fingers down the throat of love,Love! Love!,The Birthday Party,1983,,
Fears of Gun,The Bad Seed,Fingers down the throat of love,Love! Love!,,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,,The woods eats the woman and dumps her honey-body in,the mud,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,The woods eats the woman and dumps her honey-body in,the mud,Her dress floats down the well and it assumes the shape of,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,the mud,Her dress floats down the well and it assumes the shape of,the body of a little girl,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,Her dress floats down the well and it assumes the shape of,the body of a little girl,Yeah I recognize that girl,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,the body of a little girl,Yeah I recognize that girl,She stumbled in some time last loneliness,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,Yeah I recognize that girl,She stumbled in some time last loneliness,But I could not stand to touch her now,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,She stumbled in some time last loneliness,But I could not stand to touch her now,My one and onlyness,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,But I could not stand to touch her now,My one and onlyness,,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,My one and onlyness,,Deep in the woods,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,,Deep in the woods,Deep in the woods,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,Deep in the woods,Deep in the woods,Deep in the woods a funeral is swinging,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,Deep in the woods,Deep in the woods a funeral is swinging,,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,Deep in the woods a funeral is swinging,,Worms make their cruel design,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,,Worms make their cruel design,Saying D-I-E into her skin,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,Worms make their cruel design,Saying D-I-E into her skin,Saying DEAD into belly and DEATH into shoulder,The Birthday Party,1983,,
Deep in the Woods,The Bad Seed,Saying D-I-E into her skin,Saying DEAD into belly and DEATH into shoulder,Well last night she kissed me but then death was upon her,The Birthday Party,1983,,
