song,album,prev,lyric,next,artist,year
Jesus Alone,Skeleton Tree,,You fell from the sky,Crash landed in a field,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,You fell from the sky,Crash landed in a field,Near the river Adur,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,Crash landed in a field,Near the river Adur,Flowers spring from the ground,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,Near the river Adur,Flowers spring from the ground,Lambs burst from the wombs of their mothers,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,Flowers spring from the ground,Lambs burst from the wombs of their mothers,In a hole beneath the bridge,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,Lambs burst from the wombs of their mothers,In a hole beneath the bridge,"She convalesce, she fashioned masks of twigs and clay",Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,In a hole beneath the bridge,"She convalesce, she fashioned masks of twigs and clay",You cried beneath the dripping trees,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,"She convalesce, she fashioned masks of twigs and clay",You cried beneath the dripping trees,Ghost song lodged in the throat of a mermaid,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,You cried beneath the dripping trees,Ghost song lodged in the throat of a mermaid,With my voice,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,Ghost song lodged in the throat of a mermaid,With my voice,I am calling you,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,With my voice,I am calling you,You’re a young man waking,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,I am calling you,You’re a young man waking,Covered in blood that is not yours,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,You’re a young man waking,Covered in blood that is not yours,You’re a woman in a yellow dress,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,Covered in blood that is not yours,You’re a woman in a yellow dress,Surrounded by a charm of hummingbirds,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,You’re a woman in a yellow dress,Surrounded by a charm of hummingbirds,You’re a young girl full of forbidden energy,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,Surrounded by a charm of hummingbirds,You’re a young girl full of forbidden energy,Flickering in the gloom,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,You’re a young girl full of forbidden energy,Flickering in the gloom,You’re a drug addict lying on your back,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,Flickering in the gloom,You’re a drug addict lying on your back,In a Tijuana hotel room,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,You’re a drug addict lying on your back,In a Tijuana hotel room,With my voice,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,In a Tijuana hotel room,With my voice,I am calling you,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,With my voice,I am calling you,With my voice,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,I am calling you,With my voice,I am calling you,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,With my voice,I am calling you,You’re an African doctor harvesting tear ducts,Nick Cave & The Bad Seeds,2016
Jesus Alone,Skeleton Tree,I am calling you,You’re an African doctor harvesting tear ducts,You believe…,Nick Cave & The Bad Seeds,2016
