song,album,prev,lyric,next,artist,year
Do You Love Me?,Let Love In,,I found her on a night of fire and noise,Wild bells rang in a wild sky,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,I found her on a night of fire and noise,Wild bells rang in a wild sky,I knew from that moment on,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,Wild bells rang in a wild sky,I knew from that moment on,I’d love her till the day that I died,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,I knew from that moment on,I’d love her till the day that I died,And I kissed away a thousand tears,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,I’d love her till the day that I died,And I kissed away a thousand tears,My lady of the Various Sorrows,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,And I kissed away a thousand tears,My lady of the Various Sorrows,"Some begged, some borrowed, some stolen",Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,My lady of the Various Sorrows,"Some begged, some borrowed, some stolen",Some kept safe for tomorrow,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,"Some begged, some borrowed, some stolen",Some kept safe for tomorrow,"On an endless night, silver star spangled",Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,Some kept safe for tomorrow,"On an endless night, silver star spangled",The bells from the chapel went jingle-jangle,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,"On an endless night, silver star spangled",The bells from the chapel went jingle-jangle,,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,The bells from the chapel went jingle-jangle,,Do you love me?,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,,Do you love me?,She was given to me to put things right,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,Do you love me?,She was given to me to put things right,And I stacked all my accomplishments beside her,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,She was given to me to put things right,And I stacked all my accomplishments beside her,Still I seemed so obsolete and small,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,And I stacked all my accomplishments beside her,Still I seemed so obsolete and small,I found God and all His devils inside her,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,Still I seemed so obsolete and small,I found God and all His devils inside her,In my bed she cast the blizzard out,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,I found God and all His devils inside her,In my bed she cast the blizzard out,A mock sun blazed upon her head,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,In my bed she cast the blizzard out,A mock sun blazed upon her head,So completely filled with light she was,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,A mock sun blazed upon her head,So completely filled with light she was,Her shadow fanged and hairy and mad,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,So completely filled with light she was,Her shadow fanged and hairy and mad,Our love-lines grew hopelessly tangled,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,Her shadow fanged and hairy and mad,Our love-lines grew hopelessly tangled,And the bells from the chapel went jingle-jangle,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,Our love-lines grew hopelessly tangled,And the bells from the chapel went jingle-jangle,,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,And the bells from the chapel went jingle-jangle,,Do you love me?,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,,Do you love me?,She had a heartful of love and devotion,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,Do you love me?,She had a heartful of love and devotion,She had a mindful of tyranny and terror,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,She had a heartful of love and devotion,She had a mindful of tyranny and terror,"Well, I try, I do, I really try",Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,She had a mindful of tyranny and terror,"Well, I try, I do, I really try","But I just err, baby, I do, I error",Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,"Well, I try, I do, I really try","But I just err, baby, I do, I error","So come find me, my darling one",Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,"But I just err, baby, I do, I error","So come find me, my darling one","I’m down to the grounds, the very dregs",Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,"So come find me, my darling one","I’m down to the grounds, the very dregs","Ah, here she comes, blocking the sun",Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,"I’m down to the grounds, the very dregs","Ah, here she comes, blocking the sun",Blood running down the inside of her legs,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,"Ah, here she comes, blocking the sun",Blood running down the inside of her legs,The moon in the sky is battered and mangled,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,Blood running down the inside of her legs,The moon in the sky is battered and mangled,And the bells from the chapel go jingle-jangle,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,The moon in the sky is battered and mangled,And the bells from the chapel go jingle-jangle,,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,And the bells from the chapel go jingle-jangle,,Do you love me?,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,,Do you love me?,All things move toward their end,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,Do you love me?,All things move toward their end,I knew before I met her that I would lose her,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,All things move toward their end,I knew before I met her that I would lose her,I swear I made every effort to be good to her,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,I knew before I met her that I would lose her,I swear I made every effort to be good to her,I swear I made every effort not to abuse her,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,I swear I made every effort to be good to her,I swear I made every effort not to abuse her,Crazy bracelets on her wrists and her ankles,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,I swear I made every effort not to abuse her,Crazy bracelets on her wrists and her ankles,And the bells from the chapel went jingle-jangle,Nick Cave & The Bad Seeds,1994
Do You Love Me?,Let Love In,Crazy bracelets on her wrists and her ankles,And the bells from the chapel went jingle-jangle,,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,,I’ve searched the holy books,"Tried to unravel the mystery of Jesus Christ, the saviour",Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,I’ve searched the holy books,"Tried to unravel the mystery of Jesus Christ, the saviour",I’ve read the poets and the analysts,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,"Tried to unravel the mystery of Jesus Christ, the saviour",I’ve read the poets and the analysts,Searched through the books on human behaviour,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,I’ve read the poets and the analysts,Searched through the books on human behaviour,I travelled the whole world around,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,Searched through the books on human behaviour,I travelled the whole world around,For an answer that refused to be found,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,I travelled the whole world around,For an answer that refused to be found,I don’t know why and I don’t know how,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,For an answer that refused to be found,I don’t know why and I don’t know how,But she’s nobody’s baby now,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,I don’t know why and I don’t know how,But she’s nobody’s baby now,,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,But she’s nobody’s baby now,,I loved her then and I guess I love her still,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,,I loved her then and I guess I love her still,Hers is the face I see when a certain mood moves in,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,I loved her then and I guess I love her still,Hers is the face I see when a certain mood moves in,She lives in my blood and skin,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,Hers is the face I see when a certain mood moves in,She lives in my blood and skin,"Her wild feral stare, her dark hair",Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,She lives in my blood and skin,"Her wild feral stare, her dark hair",Her winter lips as cold as stone,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,"Her wild feral stare, her dark hair",Her winter lips as cold as stone,"Yeah, I was her man",Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,Her winter lips as cold as stone,"Yeah, I was her man",But there are some things even love won’t allow,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,"Yeah, I was her man",But there are some things even love won’t allow,I held her hand but I don’t hold it now,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,But there are some things even love won’t allow,I held her hand but I don’t hold it now,I don’t know why and I don’t know how,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,I held her hand but I don’t hold it now,I don’t know why and I don’t know how,But she’s nobody’s baby now,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,I don’t know why and I don’t know how,But she’s nobody’s baby now,,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,But she’s nobody’s baby now,,This is her dress that I loved best,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,,This is her dress that I loved best,With the blue quilted violets across the breast,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,This is her dress that I loved best,With the blue quilted violets across the breast,And these are my many letters,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,With the blue quilted violets across the breast,And these are my many letters,Torn to pieces by her long-fingered hand,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,And these are my many letters,Torn to pieces by her long-fingered hand,I was her cruel-hearted man,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,Torn to pieces by her long-fingered hand,I was her cruel-hearted man,And though I’ve tried to lay her ghost down,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,I was her cruel-hearted man,And though I’ve tried to lay her ghost down,"She’s moving through me, even now",Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,And though I’ve tried to lay her ghost down,"She’s moving through me, even now",I don’t know why and I don’t know how,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,"She’s moving through me, even now",I don’t know why and I don’t know how,But she’s nobody’s baby now,Nick Cave & The Bad Seeds,1994
Nobody’s Baby Now,Let Love In,I don’t know why and I don’t know how,But she’s nobody’s baby now,,Nick Cave & The Bad Seeds,1994
Loverman,Let Love In,,There’s a devil waiting outside your door,(How much longer?),Nick Cave & The Bad Seeds,1994
Loverman,Let Love In,There’s a devil waiting outside your door,(How much longer?),Bucking and braying and pawing the floor,Nick Cave & The Bad Seeds,1994
Loverman,Let Love In,(How much longer?),Bucking and braying and pawing the floor,"Well, he’s howling with pain and crawling up the walls",Nick Cave & The Bad Seeds,1994
Loverman,Let Love In,Bucking and braying and pawing the floor,"Well, he’s howling with pain and crawling up the walls",There’s a devil waiting outside your door,Nick Cave & The Bad Seeds,1994
Loverman,Let Love In,"Well, he’s howling with pain and crawling up the walls",There’s a devil waiting outside your door,He’s weak with evil and broken by the world,Nick Cave & The Bad Seeds,1994
Loverman,Let Love In,There’s a devil waiting outside your door,He’s weak with evil and broken by the world,He’s shouting your name and asking for more,Nick Cave & The Bad Seeds,1994
Loverman,Let Love In,He’s weak with evil and broken by the world,He’s shouting your name and asking for more,There’s a devil waiting outside your door,Nick Cave & The Bad Seeds,1994
Loverman,Let Love In,He’s shouting your name and asking for more,There’s a devil waiting outside your door,,Nick Cave & The Bad Seeds,1994
