song,album,prev,lyric,next,artist,year
Hand of God,Carnage,,There are some people trying to find out who,There are some people trying to find out why,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,There are some people trying to find out who,There are some people trying to find out why,There are some people aren’t trying to find anything,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,There are some people trying to find out why,There are some people aren’t trying to find anything,But that kingdom in the sky,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,There are some people aren’t trying to find anything,But that kingdom in the sky,In the sky,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,But that kingdom in the sky,In the sky,,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,In the sky,,I’m going to the river,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,,I’m going to the river,Where the current rushes by,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,I’m going to the river,Where the current rushes by,I’m going to the river,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Where the current rushes by,I’m going to the river,Where the current rushes by,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,I’m going to the river,Where the current rushes by,I’m gonna swim to the middle,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Where the current rushes by,I’m gonna swim to the middle,Where the water is real high,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,I’m gonna swim to the middle,Where the water is real high,,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Where the water is real high,,Hand of God,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,,Hand of God,Coming from the sky,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Hand of God,Coming from the sky,Hand of God,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Coming from the sky,Hand of God,Coming from the sky,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Hand of God,Coming from the sky,Gonna swim to the middle,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Coming from the sky,Gonna swim to the middle,Stay out there for a while,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Gonna swim to the middle,Stay out there for a while,Way down low,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Stay out there for a while,Way down low,Way down low,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Way down low,Way down low,Let the river cast its spell,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Way down low,Let the river cast its spell,Let the river cast its spell,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Let the river cast its spell,Let the river cast its spell,On me,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Let the river cast its spell,On me,,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,On me,,Singing boy sitting on the bridge,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,,Singing boy sitting on the bridge,Singing boy sitting on the bridge,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Singing boy sitting on the bridge,Singing boy sitting on the bridge,Throwing pennies off the edge,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Singing boy sitting on the bridge,Throwing pennies off the edge,Peasants working in the fields,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Throwing pennies off the edge,Peasants working in the fields,Keep their heads way down low,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Peasants working in the fields,Keep their heads way down low,Way down low,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Keep their heads way down low,Way down low,Don’t want to let on what they know,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Way down low,Don’t want to let on what they know,Way down low,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Don’t want to let on what they know,Way down low,Way down low,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Way down low,Way down low,Grab those pennies,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Way down low,Grab those pennies,"Count them, ten",Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Grab those pennies,"Count them, ten",Grab those pennies,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,"Count them, ten",Grab those pennies,"Count them, ten",Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Grab those pennies,"Count them, ten",Hand of God,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,"Count them, ten",Hand of God,Never come back up again,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Hand of God,Never come back up again,Let the river cast its spell,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Never come back up again,Let the river cast its spell,On me,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Let the river cast its spell,On me,,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,On me,,You’re a body of water,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,,You’re a body of water,Flowing across the bed,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,You’re a body of water,Flowing across the bed,You’re a body of water,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Flowing across the bed,You’re a body of water,Spread across the hotel bed,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,You’re a body of water,Spread across the hotel bed,Gonna swim to the middle,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Spread across the hotel bed,Gonna swim to the middle,Never come up again,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Gonna swim to the middle,Never come up again,Let the river cast its spell,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Never come up again,Let the river cast its spell,Let the river cast its spell,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Let the river cast its spell,Let the river cast its spell,On me,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Let the river cast its spell,On me,,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,On me,,Going to the river,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,,Going to the river,Where the current rushes by,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Going to the river,Where the current rushes by,Going to the river,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Where the current rushes by,Going to the river,Where the current rushes by,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Going to the river,Where the current rushes by,Gonna swim to the middle,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Where the current rushes by,Gonna swim to the middle,Stay out there a while,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Gonna swim to the middle,Stay out there a while,Let the river cast its spell,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Stay out there a while,Let the river cast its spell,On me,Nick Cave & Warren Ellis,2021
Hand of God,Carnage,Let the river cast its spell,On me,,Nick Cave & Warren Ellis,2021
Old Time,Carnage,,Wide black trees and a field of frost,Birds fly low and you and me and the car are lost,Nick Cave & Warren Ellis,2021
Old Time,Carnage,Wide black trees and a field of frost,Birds fly low and you and me and the car are lost,We took a wrong turn somewhere,Nick Cave & Warren Ellis,2021
Old Time,Carnage,Birds fly low and you and me and the car are lost,We took a wrong turn somewhere,Into the old time,Nick Cave & Warren Ellis,2021
Old Time,Carnage,We took a wrong turn somewhere,Into the old time,"Into the old time, for sure",Nick Cave & Warren Ellis,2021
Old Time,Carnage,Into the old time,"Into the old time, for sure",,Nick Cave & Warren Ellis,2021
Old Time,Carnage,"Into the old time, for sure",,The trees are black and history,Nick Cave & Warren Ellis,2021
Old Time,Carnage,,The trees are black and history,Has dragged us down to our knees,Nick Cave & Warren Ellis,2021
Old Time,Carnage,The trees are black and history,Has dragged us down to our knees,Into a cold time,Nick Cave & Warren Ellis,2021
Old Time,Carnage,Has dragged us down to our knees,Into a cold time,Everyone’s dreams have died,Nick Cave & Warren Ellis,2021
Old Time,Carnage,Into a cold time,Everyone’s dreams have died,"Wherever you’ve gone, darling",Nick Cave & Warren Ellis,2021
Old Time,Carnage,Everyone’s dreams have died,"Wherever you’ve gone, darling",I’m not that far behind,Nick Cave & Warren Ellis,2021
Old Time,Carnage,"Wherever you’ve gone, darling",I’m not that far behind,,Nick Cave & Warren Ellis,2021
Old Time,Carnage,I’m not that far behind,,By the side of the road is a thing with horns,Nick Cave & Warren Ellis,2021
Old Time,Carnage,,By the side of the road is a thing with horns,Steps back into the trees,Nick Cave & Warren Ellis,2021
Old Time,Carnage,By the side of the road is a thing with horns,Steps back into the trees,And a child is born,Nick Cave & Warren Ellis,2021
Old Time,Carnage,Steps back into the trees,And a child is born,Upon this trembling earth,Nick Cave & Warren Ellis,2021
Old Time,Carnage,And a child is born,Upon this trembling earth,Displays each day,Nick Cave & Warren Ellis,2021
Old Time,Carnage,Upon this trembling earth,Displays each day,Thrown across the hallucination of your hair,Nick Cave & Warren Ellis,2021
Old Time,Carnage,Displays each day,Thrown across the hallucination of your hair,"A strip of ordinary sun, a biblical sun",Nick Cave & Warren Ellis,2021
Old Time,Carnage,Thrown across the hallucination of your hair,"A strip of ordinary sun, a biblical sun","A colonial sun, an enlightened sun",Nick Cave & Warren Ellis,2021
Old Time,Carnage,"A strip of ordinary sun, a biblical sun","A colonial sun, an enlightened sun",The same sun,Nick Cave & Warren Ellis,2021
Old Time,Carnage,"A colonial sun, an enlightened sun",The same sun,Made always glorious at your head,Nick Cave & Warren Ellis,2021
Old Time,Carnage,The same sun,Made always glorious at your head,"Well, we stop at a motel and go jumping into bed",Nick Cave & Warren Ellis,2021
Old Time,Carnage,Made always glorious at your head,"Well, we stop at a motel and go jumping into bed",Just like the old times,Nick Cave & Warren Ellis,2021
Old Time,Carnage,"Well, we stop at a motel and go jumping into bed",Just like the old times,"Wherever you are, darling, I’m not that far behind",Nick Cave & Warren Ellis,2021
Old Time,Carnage,Just like the old times,"Wherever you are, darling, I’m not that far behind",,Nick Cave & Warren Ellis,2021
Old Time,Carnage,"Wherever you are, darling, I’m not that far behind",,A lunatic beauty under a watery moon,Nick Cave & Warren Ellis,2021
Old Time,Carnage,,A lunatic beauty under a watery moon,You’re melting by the motel swimming pool,Nick Cave & Warren Ellis,2021
Old Time,Carnage,A lunatic beauty under a watery moon,You’re melting by the motel swimming pool,By the Time I Get to Phoenix on the radio,Nick Cave & Warren Ellis,2021
Old Time,Carnage,You’re melting by the motel swimming pool,By the Time I Get to Phoenix on the radio,Your moon to my shooting star,Nick Cave & Warren Ellis,2021
Old Time,Carnage,By the Time I Get to Phoenix on the radio,Your moon to my shooting star,I’m throwing my bags in the back of the car,Nick Cave & Warren Ellis,2021
Old Time,Carnage,Your moon to my shooting star,I’m throwing my bags in the back of the car,Just like the old times,Nick Cave & Warren Ellis,2021
Old Time,Carnage,I’m throwing my bags in the back of the car,Just like the old times,"Just like old times, baby",Nick Cave & Warren Ellis,2021
Old Time,Carnage,Just like the old times,"Just like old times, baby",And I’m not coming back this time,Nick Cave & Warren Ellis,2021
Old Time,Carnage,"Just like old times, baby",And I’m not coming back this time,"Like the old days, darling",Nick Cave & Warren Ellis,2021
Old Time,Carnage,And I’m not coming back this time,"Like the old days, darling",Like the old days,Nick Cave & Warren Ellis,2021
Old Time,Carnage,"Like the old days, darling",Like the old days,I’m not coming back this time,Nick Cave & Warren Ellis,2021
Old Time,Carnage,Like the old days,I’m not coming back this time,Like the old times,Nick Cave & Warren Ellis,2021
Old Time,Carnage,I’m not coming back this time,Like the old times,Like old times,Nick Cave & Warren Ellis,2021
Old Time,Carnage,Like the old times,Like old times,"Wherever you are, darling, I’m not that far behind",Nick Cave & Warren Ellis,2021
Old Time,Carnage,Like old times,"Wherever you are, darling, I’m not that far behind",,Nick Cave & Warren Ellis,2021
Carnage,Carnage,,I always seem to be saying goodbye,And rolling through the mountains,Nick Cave & Warren Ellis,2021
Carnage,Carnage,I always seem to be saying goodbye,And rolling through the mountains,Like a train,Nick Cave & Warren Ellis,2021
Carnage,Carnage,And rolling through the mountains,Like a train,My uncle’s at the chopping block,Nick Cave & Warren Ellis,2021
Carnage,Carnage,Like a train,My uncle’s at the chopping block,Turning chickens into fountains,Nick Cave & Warren Ellis,2021
Carnage,Carnage,My uncle’s at the chopping block,Turning chickens into fountains,I’m a barefoot child,Nick Cave & Warren Ellis,2021
Carnage,Carnage,Turning chickens into fountains,I’m a barefoot child,Watching in the rain,Nick Cave & Warren Ellis,2021
Carnage,Carnage,I’m a barefoot child,Watching in the rain,That stepped into this song,Nick Cave & Warren Ellis,2021
Carnage,Carnage,Watching in the rain,That stepped into this song,Taken a bow and stepped right out again,Nick Cave & Warren Ellis,2021
Carnage,Carnage,That stepped into this song,Taken a bow and stepped right out again,I’m sitting on the balcony,Nick Cave & Warren Ellis,2021
Carnage,Carnage,Taken a bow and stepped right out again,I’m sitting on the balcony,Reading Flannery O’Connor,Nick Cave & Warren Ellis,2021
Carnage,Carnage,I’m sitting on the balcony,Reading Flannery O’Connor,With a pencil and a plan,Nick Cave & Warren Ellis,2021
Carnage,Carnage,Reading Flannery O’Connor,With a pencil and a plan,This song is like a rain cloud,Nick Cave & Warren Ellis,2021
Carnage,Carnage,With a pencil and a plan,This song is like a rain cloud,That keeps circling overhead,Nick Cave & Warren Ellis,2021
Carnage,Carnage,This song is like a rain cloud,That keeps circling overhead,Here it comes around again,Nick Cave & Warren Ellis,2021
Carnage,Carnage,That keeps circling overhead,Here it comes around again,And it’s only love,Nick Cave & Warren Ellis,2021
Carnage,Carnage,Here it comes around again,And it’s only love,With a little bit of rain,Nick Cave & Warren Ellis,2021
Carnage,Carnage,And it’s only love,With a little bit of rain,And I hope to see you again,Nick Cave & Warren Ellis,2021
Carnage,Carnage,With a little bit of rain,And I hope to see you again,,Nick Cave & Warren Ellis,2021
