title,prev,line,next,album,year,artist
Cabin Fever,"Now his leg is whittled, right down to a splinter",,O o Cabin Fever! O o o Cabin Fever!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,,O o Cabin Fever! O o o Cabin Fever!,O the rollin sea keeps rollin on!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,O o Cabin Fever! O o o Cabin Fever!,O the rollin sea keeps rollin on!,O the rollin sea keeps rollin on!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,O the rollin sea keeps rollin on!,O the rollin sea keeps rollin on!,She’s everywhere! now that she’s gone!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,O the rollin sea keeps rollin on!,She’s everywhere! now that she’s gone!,She’s everywhere! now that she’s gone! Gone! Gone!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,She’s everywhere! now that she’s gone!,She’s everywhere! now that she’s gone! Gone! Gone!,O Cabin Fever!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,She’s everywhere! now that she’s gone! Gone! Gone!,O Cabin Fever!,,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,O Cabin Fever!,,"Welcome to his table, Beloved-Unconscious",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,,"Welcome to his table, Beloved-Unconscious",Raisin her host of hair from her crooks,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,"Welcome to his table, Beloved-Unconscious",Raisin her host of hair from her crooks,And struggling to summon one of her looks!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,Raisin her host of hair from her crooks,And struggling to summon one of her looks!,His arm now like coiled s-s-s-snakes,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,And struggling to summon one of her looks!,His arm now like coiled s-s-s-snakes,Whips all the bottles that he’s drunken,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,His arm now like coiled s-s-s-snakes,Whips all the bottles that he’s drunken,Like crystal – skittles about the cabin,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,Whips all the bottles that he’s drunken,Like crystal – skittles about the cabin,Of a ship they’d been sailing,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,Like crystal – skittles about the cabin,Of a ship they’d been sailing,Five years sunken,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Cabin Fever,Of a ship they’d been sailing,Five years sunken,,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,,Along crags and sunless cracks I go,"Up rib of rock, down spine of stone",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,Along crags and sunless cracks I go,"Up rib of rock, down spine of stone",I dare not slumber where the night winds whistle,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,"Up rib of rock, down spine of stone",I dare not slumber where the night winds whistle,Lest her creeping-soul clutch this heart of thistle,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,I dare not slumber where the night winds whistle,Lest her creeping-soul clutch this heart of thistle,,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,Lest her creeping-soul clutch this heart of thistle,,O the same God that abandoned her,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,,O the same God that abandoned her,"Has, in turn abandoned me",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,O the same God that abandoned her,"Has, in turn abandoned me",And softenin’ the turf with my tears,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,"Has, in turn abandoned me",And softenin’ the turf with my tears,I dug a Well of Misery,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,And softenin’ the turf with my tears,I dug a Well of Misery,,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,I dug a Well of Misery,,"And, in that Well of Misery",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,,"And, in that Well of Misery",Hangs a bucket full Sorrow,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,"And, in that Well of Misery",Hangs a bucket full Sorrow,Which swings slow an’ actin’ like a bell,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,Hangs a bucket full Sorrow,Which swings slow an’ actin’ like a bell,Its toll is dead and hollow,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,Which swings slow an’ actin’ like a bell,Its toll is dead and hollow,,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,Its toll is dead and hollow,,Down that well lies the long-lost dress,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,,Down that well lies the long-lost dress,Of my lil floatin girl,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,Down that well lies the long-lost dress,Of my lil floatin girl,That muffles a tear that you let fall,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,Of my lil floatin girl,That muffles a tear that you let fall,All down that Well of Misery,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,That muffles a tear that you let fall,All down that Well of Misery,,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,All down that Well of Misery,,"Put ya shoulder to the handle, if ya dare",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,,"Put ya shoulder to the handle, if ya dare","And hoist that bucket, hither",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,"Put ya shoulder to the handle, if ya dare","And hoist that bucket, hither",Crank n hoist n hoist n crank,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,"And hoist that bucket, hither",Crank n hoist n hoist n crank,Till ya muscles waste n wither,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,Crank n hoist n hoist n crank,Till ya muscles waste n wither,,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,Till ya muscles waste n wither,,O the same God that abandoned her,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,,O the same God that abandoned her,"Has, in turn abandoned me",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,O the same God that abandoned her,"Has, in turn abandoned me",Deep in the Desert of Despair,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,"Has, in turn abandoned me",Deep in the Desert of Despair,I wait at the Well Of Misery,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Well of Misery,Deep in the Desert of Despair,I wait at the Well Of Misery,,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,,Ah wanna tell ya ’bout a girl,"You know, she lives in apt. 29",From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,Ah wanna tell ya ’bout a girl,"You know, she lives in apt. 29",Why? That’s the one right up top a mine,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,"You know, she lives in apt. 29",Why? That’s the one right up top a mine,"I start to cry, I start to cry",From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,Why? That’s the one right up top a mine,"I start to cry, I start to cry","Oh, I hear her walkin’",From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,"I start to cry, I start to cry","Oh, I hear her walkin’",Walkin’ barefoot cross the floor-boards,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,"Oh, I hear her walkin’",Walkin’ barefoot cross the floor-boards,All through this lonesome night,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,Walkin’ barefoot cross the floor-boards,All through this lonesome night,And I hear her crying too,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,All through this lonesome night,And I hear her crying too,Hot-tears come splashin’ on down,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,And I hear her crying too,Hot-tears come splashin’ on down,Leaking through the cracks,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,Hot-tears come splashin’ on down,Leaking through the cracks,Down upon my face,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,Leaking through the cracks,Down upon my face,I catch ’em in my mouth!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,Down upon my face,I catch ’em in my mouth!,"Walk and cry, walk and cry",From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,I catch ’em in my mouth!,"Walk and cry, walk and cry",,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,"Walk and cry, walk and cry",,From her to eternity!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,,From her to eternity!,From her to eternity!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,From her to eternity!,From her to eternity!,From her to eternity!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,From her to eternity!,From her to eternity!,,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,From her to eternity!,,I read her diary on her sheets,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,,I read her diary on her sheets,Scrutinizing every little piece of dirt,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,I read her diary on her sheets,Scrutinizing every little piece of dirt,Tore out a page and stuffed it inside my shirt,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,Scrutinizing every little piece of dirt,Tore out a page and stuffed it inside my shirt,Fled outta the window,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,Tore out a page and stuffed it inside my shirt,Fled outta the window,And shinning it down the vine,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,Fled outta the window,And shinning it down the vine,Outta her nightmare,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,And shinning it down the vine,Outta her nightmare,And back into mine,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,Outta her nightmare,And back into mine,Mine! O Mine!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,And back into mine,Mine! O Mine!,,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,Mine! O Mine!,,From her to eternity!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,,From her to eternity!,From her to eternity!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,From her to eternity!,From her to eternity!,From her to eternity!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,From her to eternity!,From her to eternity!,Cry! Cry! Cry!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,From her to eternity!,Cry! Cry! Cry!,,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,Cry! Cry! Cry!,,"She’s wearing them bloo-stockens, I bet!",From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,,"She’s wearing them bloo-stockens, I bet!",And standin’ like this with my ear to the ceiling,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,"She’s wearing them bloo-stockens, I bet!",And standin’ like this with my ear to the ceiling,Listen I know it must sound absurd,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,And standin’ like this with my ear to the ceiling,Listen I know it must sound absurd,But I can hear the most melancholy sound I ever heard!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,Listen I know it must sound absurd,But I can hear the most melancholy sound I ever heard!,"Walk and cry, kneel and cry!",From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,But I can hear the most melancholy sound I ever heard!,"Walk and cry, kneel and cry!",,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,"Walk and cry, kneel and cry!",,From her to eternity!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,,From her to eternity!,From her to eternity!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,From her to eternity!,From her to eternity!,,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,From her to eternity!,,Oh tell me why? Why? Why?,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,,Oh tell me why? Why? Why?,Why the ceiling still shakes?,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,Oh tell me why? Why? Why?,Why the ceiling still shakes?,Why the fixtures turn to serpents snakes?,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,Why the ceiling still shakes?,Why the fixtures turn to serpents snakes?,This desire to possess her is a wound,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,Why the fixtures turn to serpents snakes?,This desire to possess her is a wound,And it’s naggin’ at me like a shrew,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,This desire to possess her is a wound,And it’s naggin’ at me like a shrew,"But I know, that to possess her",From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,And it’s naggin’ at me like a shrew,"But I know, that to possess her","Is, therefore, not to desire her",From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,"But I know, that to possess her","Is, therefore, not to desire her",,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,"Is, therefore, not to desire her",,O o o then ya know,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,,O o o then ya know,That lil girl would just have to go!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,O o o then ya know,That lil girl would just have to go!,Go! Go!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,That lil girl would just have to go!,Go! Go!,From her to eternity!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
From Her To Eternity,Go! Go!,From her to eternity!,,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,,"Born of the river,","Born of its ever-changing, never-changing murky water",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,"Born of the river,","Born of its ever-changing, never-changing murky water","Huck standing like a Saint, upon its deck",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,"Born of its ever-changing, never-changing murky water","Huck standing like a Saint, upon its deck","If ya wanna catch a Saint,",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,"Huck standing like a Saint, upon its deck","If ya wanna catch a Saint,","Then bait ya hook, let’s take a walk..",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,"If ya wanna catch a Saint,","Then bait ya hook, let’s take a walk..","‘O come to me!, O come to me!’ is what the dirty-city",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,"Then bait ya hook, let’s take a walk..","‘O come to me!, O come to me!’ is what the dirty-city",Say to Huck…,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,"‘O come to me!, O come to me!’ is what the dirty-city",Say to Huck…,"He go woah-woah, woah woah!",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,Say to Huck…,"He go woah-woah, woah woah!",Saint Huck! Huck!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,"He go woah-woah, woah woah!",Saint Huck! Huck!,"Straight into the arms of the city go Huck,",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,Saint Huck! Huck!,"Straight into the arms of the city go Huck,",Down the beckoning streets of op-po-tunity,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,"Straight into the arms of the city go Huck,",Down the beckoning streets of op-po-tunity,Huck whistles his favorite River-song…,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,Down the beckoning streets of op-po-tunity,Huck whistles his favorite River-song…,And a bad-blind-nigger at the piano,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,Huck whistles his favorite River-song…,And a bad-blind-nigger at the piano,Buts a sinister-bloo-lilt into that sing-a-long,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,And a bad-blind-nigger at the piano,Buts a sinister-bloo-lilt into that sing-a-long,Huck senses somethings wrong!!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,Buts a sinister-bloo-lilt into that sing-a-long,Huck senses somethings wrong!!,"Sirens wail in the city,",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,Huck senses somethings wrong!!,"Sirens wail in the city,",And lil-Ulysses turn to putty,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,"Sirens wail in the city,",And lil-Ulysses turn to putty,Ol’ man River’s got a bone to pick!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,And lil-Ulysses turn to putty,Ol’ man River’s got a bone to pick!,Our boys hardly got a bone to suck!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,Ol’ man River’s got a bone to pick!,Our boys hardly got a bone to suck!,"He go woah-woah, woah woah!",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,Our boys hardly got a bone to suck!,"He go woah-woah, woah woah!",Saint Huck! Huck!,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,"He go woah-woah, woah woah!",Saint Huck! Huck!,"The mo-o-o-on, its huge cycloptic eye",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,Saint Huck! Huck!,"The mo-o-o-on, its huge cycloptic eye","Watches the city streets contract,",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,"The mo-o-o-on, its huge cycloptic eye","Watches the city streets contract,",Watched twist and cripple and crack.,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,"Watches the city streets contract,",Watched twist and cripple and crack.,Saint Huck goes on a dog’s-leg now,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,Watched twist and cripple and crack.,Saint Huck goes on a dog’s-leg now,Saint Huck goes on a dog’s-leg now,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,Saint Huck goes on a dog’s-leg now,Saint Huck goes on a dog’s-leg now,,From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,Saint Huck goes on a dog’s-leg now,,"Why, you know the story!",From Her To Eternity,1984,Nick Cave & The Bad Seeds
Saint Huck,,"Why, you know the story!",Ya wake up one morning and you find your a thug,From Her To Eternity,1984,Nick Cave & The Bad Seeds
